id,name,revives,medicalitemsused,bloodwithdrawn,hospital,vandalism,theft,counterfeiting,fraud,illicitservices,cybercrime,racingpointsearned,raceswon,jailed,peoplebusted,peoplebought,auctionswon,bazaarcustomers,heahits,machits,rifhits,smghits,shohits,pishits,grehits,piehits,slahits,axehits,chahits,h2hhits,dumpfinds,candyused,alcoholused,energydrinkused,argtravel,mextravel,dubtravel,hawtravel,japtravel,lontravel,soutravel,switravel,chitravel,cantravel,caytravel,attackswon,attacksdraw,attacksassisted,yourunaway,attackcriticalhits,attacksstealthed,attackslost,cantaken,exttaken,kettaken,lsdtaken,opitaken,pcptaken,shrtaken,spetaken,victaken,xantaken,update
38747,Concrete_Shoes,0,145,64,28,752,54,2,112,410,633,0,0,6,0,0,0,0,1,0,53,0,0,0,3,0,5,2,0,1,0,5,19,54,4,0,0,0,0,0,0,3,83,0,0,58,3,9,0,65,1,5,0,0,0,0,0,0,0,0,1,45,2025-06-29T12:10:03.285444Z
39773,Juggernaut,13,171,0,69,2559,37,400,1,0,75,16,5,5,0,0,3,0,0,0,0,0,0,0,1,0,18,0,0,0,12,0,47,106,0,0,0,0,0,0,0,16,0,0,0,17,226,193,1,1427,0,64,0,0,0,0,0,0,0,0,0,69,2025-06-29T12:10:03.285444Z
41035,neo-twister,0,121,0,48,1018,274,250,395,0,0,14,1,3,0,0,0,6,0,0,31,3,5,0,0,0,13,0,0,0,0,0,30,12,0,0,0,0,0,0,0,2,0,0,2,47,0,16,2,86,2,5,0,0,0,0,0,0,0,0,4,10,2025-06-29T12:10:03.285444Z
47186,dreadknight,0,54,47,8,0,349,0,1004,78,563,8,2,6,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,2,0,488,81,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,84,2025-06-29T12:10:03.285444Z
55651,ultraman,1,91,0,69,0,141,0,1038,26,299,12,6,4,4,0,0,0,2,0,124,0,0,32,0,0,35,1,0,4,33,0,303,27,0,0,0,0,0,0,0,9,0,1,0,167,0,17,1,191,9,14,17,0,0,0,0,0,0,0,7,45,2025-06-29T12:10:03.285444Z
58005,IKYA,0,117,27,3,0,24,0,1090,0,0,63,6,1,0,0,0,0,0,0,12,0,0,68,0,117,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,1,0,0,0,197,0,0,2,151,97,1,0,0,0,41,0,0,0,0,0,0,2025-06-29T12:10:03.285444Z
64263,Suehtomit,0,27,11,35,1,1111,2514,340,13,345,32,4,6,58,0,2,29,0,0,4,0,0,2,0,0,0,0,0,0,0,0,794,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,20,1,0,26,0,0,0,0,0,0,0,1,53,2025-06-29T12:10:03.285444Z
67436,_Jeff_,0,0,0,18,0,29,0,5,5,0,0,0,1,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,5,2025-06-29T12:10:03.285444Z
67804,abzstro92,0,47,28,49,0,1295,0,22,187,0,0,0,25,0,0,0,0,0,0,0,0,1,2,1,0,0,34,0,0,0,190,390,0,1,0,0,0,0,0,1,1,0,0,0,37,4,0,0,23,6,8,168,2,0,0,0,0,0,0,0,10,2025-06-29T12:10:03.285444Z
74099,ttyper,0,105,12,40,0,2489,0,1,27,25,37,6,20,60,1,0,0,13,0,28,37,0,4,0,0,0,9,7,24,0,4,526,43,0,1,1,0,0,0,0,0,0,0,0,121,0,10,1,118,56,9,0,0,0,0,0,0,0,0,2,69,2025-06-29T12:10:03.285444Z
77603,-mali,0,44,5,35,93,73,2,1082,9,0,19,3,4,1,4,0,0,0,0,48,0,0,3,2,0,0,4,0,0,11,0,509,6,0,0,0,0,0,0,0,13,0,0,0,48,0,15,0,53,7,1,0,0,0,0,0,0,0,0,2,60,2025-06-29T12:10:03.285444Z
82801,ShadowStriker,0,22,0,18,0,769,11,0,526,0,43,23,7,212,0,0,8,0,0,37,0,0,0,0,0,4,0,0,0,1,0,650,0,18,0,7,0,0,0,4,7,5,0,0,41,2,0,1,67,1,3,0,0,0,0,0,0,0,0,0,75,2025-06-29T12:10:03.285444Z
84976,Jokar,0,424,1,109,0,473,0,704,448,165,73,38,706,302,0,1,7,68,0,80,0,0,38,0,331,0,5,0,1,30,0,465,35,0,11,0,0,2,0,0,3,0,0,1,521,5,24,0,714,337,40,0,1,0,0,0,0,0,0,0,74,2025-06-29T12:10:03.285444Z
93922,Padokill,0,59,3,21,0,2737,0,100,62,167,140,22,6,60,0,0,0,0,4,52,170,0,0,0,0,0,88,0,0,1,0,485,9,0,0,0,0,0,0,0,3,0,0,0,295,1,13,0,338,11,5,26,0,0,0,0,0,0,0,4,67,2025-06-29T12:10:03.285444Z
100495,chronik,0,31,23,11,0,568,571,0,165,19,0,0,16,0,0,0,43,0,0,2,0,0,5,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,4,0,0,0,7,0,0,0,9,6,0,0,0,0,0,0,0,0,0,1,59,2025-06-29T12:10:03.285444Z
102430,Pompey123,0,62,9,36,36,51,0,63,0,1206,0,0,3,0,0,0,244,14,0,25,0,0,0,0,0,4,0,0,0,0,7,0,199,3,0,0,1,0,1,83,6,10,0,0,42,1,2,0,32,1,8,0,0,0,0,0,0,0,0,0,72,2025-06-29T12:10:03.285444Z
104708,Tarren,0,339,141,76,8,2187,108,1291,450,3,0,169,100,116,1,6,9,0,0,35,297,0,0,2,0,13,2,0,1,4,0,643,6,0,0,0,0,0,0,0,11,0,0,1,334,9,32,0,362,53,28,0,0,0,0,0,0,0,0,3,76,2025-06-29T12:10:03.285444Z
105214,Exploded,0,4137,195,313,0,657,2,0,512,56,60,7,7,0,0,4,25,0,0,44,141,0,0,1,0,11,1,0,1,6,0,186,219,0,0,0,0,0,0,0,7,0,0,1,192,6,18,0,198,3,18,0,0,0,0,0,0,1,0,0,82,2025-06-29T12:10:03.285444Z
109736,Cloud,0,242,68,129,0,81,12,267,501,787,4,20,4,0,0,0,0,0,0,268,0,0,4,1,0,26,0,0,1,1,0,81,15,0,0,0,0,0,0,0,2,0,0,0,283,1,24,0,203,22,7,0,0,0,0,0,0,0,0,1,48,2025-06-29T12:10:03.285444Z
114544,Shippoe_Crazzy,0,532,532,12,0,0,0,0,0,0,0,426,18,0,0,1,1,0,0,83,0,0,2,0,0,10,0,0,0,2,0,505,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,51,12,4,0,0,0,0,0,0,0,0,0,8,2025-06-29T12:10:03.285444Z
115716,ScroogeMcDuck,0,117,94,30,0,1,0,0,11,1700,0,55,5,98,0,0,0,0,0,6,0,0,9,212,0,13,215,0,0,0,34,257,3,0,0,0,0,0,0,0,3,0,0,0,8,1,0,0,168,7,0,7,0,0,0,0,0,0,0,0,75,2025-06-29T12:10:03.285444Z
116017,Dooxo,0,13,12,5,0,34,38,462,399,691,3,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,665,0,15,0,5,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2025-06-29T12:10:03.285444Z
119434,Clifford,0,140,44,55,942,309,0,11,331,266,77,17,5,0,0,1,0,0,0,72,0,0,0,0,13,0,0,1,1,0,86,254,2,0,0,0,0,0,0,0,2,0,0,0,86,3,47,2,204,9,9,0,0,0,0,0,0,0,0,4,64,2025-06-29T12:10:03.285444Z
123265,THCBlueberry,0,27,8,2,246,475,143,163,414,592,317,54,9,64,0,0,9,0,0,137,0,0,0,0,0,0,0,0,0,0,0,14,232,0,0,0,0,0,0,0,4,0,0,0,130,0,0,0,70,0,0,0,0,0,82,0,0,0,0,2,0,2025-06-29T12:10:03.285444Z
126091,sCrEwBuRgEr,0,39,0,24,0,0,0,834,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,196,0,0,0,9,0,0,33,5,0,0,0,0,0,0,0,4,0,0,0,206,0,3,0,94,99,7,0,0,0,0,0,0,0,0,0,58,2025-06-29T12:10:03.285444Z
130060,Metzo,0,13,0,21,0,42,0,1574,6,82,0,0,2,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,53,140,0,0,1,0,0,0,0,3,0,0,0,69,0,17,0,42,0,1,0,0,0,0,0,0,0,0,0,48,2025-06-29T12:10:03.285444Z
131289,MIA,0,556,417,79,0,2239,9,305,462,51,80,45,21,109,0,0,47,0,0,38,0,0,4,0,0,0,8,0,0,1,0,584,15,0,1,0,1,0,4,1,2,0,14,0,43,2,2,1,102,7,0,7,0,0,0,0,0,0,0,0,80,2025-06-29T12:10:03.285444Z
132845,David,0,8,0,7,0,1014,0,18,0,353,1,0,223,492,178,0,0,0,0,14,0,0,1,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,29,15,1,0,0,0,0,0,0,0,0,0,0,2025-06-29T12:10:03.285444Z
141605,Bish,0,164,0,80,0,1033,0,1429,18,38,0,0,10,144,0,10,0,3,0,80,16,0,0,0,31,0,0,0,0,8,0,1,331,0,0,0,0,0,0,1,8,0,0,1,109,5,27,25,359,71,1,0,0,0,0,0,0,0,0,1,74,2025-06-29T12:10:03.285444Z
144430,meeper_creeper,0,581,412,115,0,1581,696,62,314,0,215,38,8,0,0,0,69,0,69,0,0,0,0,6,0,19,52,19,37,0,0,969,0,1,0,0,0,2,1,1,6,4,4,0,202,10,10,0,158,82,8,0,0,6,0,0,0,0,0,1,71,2025-06-29T12:10:03.285444Z
145507,Jorgy411,0,293,98,24,7,127,0,2209,0,0,0,0,8,61,0,0,0,6,69,0,0,0,0,0,0,0,2,0,0,0,0,453,0,0,0,0,0,0,0,0,1,0,0,0,77,6,1,0,67,1,4,1,0,0,0,0,0,0,0,0,37,2025-06-29T12:10:03.285444Z
148085,maxxratt,1058,95,42,24,0,0,0,0,0,1074,0,0,2,0,0,0,0,0,0,3,0,0,1,16,71,0,9,0,0,12,0,0,1,0,1,0,0,0,0,0,2,0,1,0,100,3,0,0,56,63,21,0,0,0,0,0,0,0,0,0,70,2025-06-29T12:10:03.285444Z
148961,Thrie,0,183,3,161,0,1713,0,378,0,276,217,37,20,2,0,1,0,0,8,65,0,0,54,0,0,15,3,0,1,0,0,661,4,0,0,0,0,0,0,1,22,0,0,0,134,5,5,0,113,8,8,41,0,0,0,0,0,0,0,3,59,2025-06-29T12:10:03.285444Z
157639,MoHiCaN,0,136,0,42,816,1144,347,74,0,7,1,0,412,343,176,0,5,0,5,76,7,0,1,0,0,18,2,0,0,1,0,0,126,0,0,0,0,0,0,0,5,0,0,1,98,214,332,0,1930,9,32,0,0,0,0,0,0,0,0,0,60,2025-06-29T12:10:03.285444Z
159734,Headshots,0,527,497,51,0,1,1796,15,0,0,182,27,1,0,0,0,2,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,12,0,0,0,14,12,1,0,0,0,0,0,0,0,0,1,77,2025-06-29T12:10:03.285444Z
170361,Wilinator,0,592,320,31,42,319,84,150,413,1008,149,31,22,129,0,3,4,0,2,35,0,0,9,1,0,12,12,0,0,0,0,662,2,16,0,0,0,0,0,0,4,0,3,0,69,0,0,0,102,26,2,42,0,0,0,0,0,0,0,1,68,2025-06-29T12:10:03.285444Z
174660,MaLaB,1,194,191,11,2,99,0,84,17,1580,0,13,23,166,0,1,0,1545,0,42,933,0,0,0,0,3,2,0,0,0,0,196,132,0,0,0,0,0,0,0,2,0,0,1,112,8,6,43,761,5,2,0,0,0,0,0,0,0,0,0,77,2025-06-29T12:10:03.285444Z
177232,Malibu_Mara,0,320,163,64,0,815,0,5,476,757,113,29,9,52,0,0,0,1,0,72,2,0,0,4,0,1,13,0,1,1,0,17,51,0,0,0,0,0,0,39,3,0,0,3,91,34,63,1,475,8,9,0,0,0,0,0,0,0,0,5,59,2025-06-29T12:10:03.285444Z
177339,Snare,3,98,6,62,0,1957,0,21,71,25,0,0,17,0,0,0,1,11,0,30,0,0,0,4,0,3,82,0,1,7,78,88,2,0,2,0,1,0,0,0,3,0,0,0,127,0,2,0,98,98,7,0,0,0,27,0,0,0,0,0,0,2025-06-29T12:10:03.285444Z
177516,tyro,0,493,91,126,3411,69,260,169,0,0,47,11,4,137,0,0,33,11,0,10,18,0,0,0,5,19,0,0,0,0,16,336,1,0,5,0,0,0,0,0,3,0,1,0,61,2,18,2,96,0,1,0,0,0,0,0,0,0,0,2,69,2025-06-29T12:10:03.285444Z
187808,Salvatore87,0,174,141,15,1132,105,5,1381,0,1150,50,47,15,148,0,1,7,0,14,0,0,0,0,0,0,5,11,0,0,0,0,417,124,0,0,0,0,0,0,0,13,0,0,0,29,1,2,0,46,4,0,0,0,0,0,0,0,0,0,0,76,2025-06-29T12:10:03.285444Z
202258,piney,0,99,31,8,0,50,0,717,0,649,5,19,0,0,0,0,1,53,0,203,18,0,1,0,9,0,0,0,0,0,813,0,5,0,0,0,0,0,0,0,5,0,0,0,283,2,9,0,321,19,6,0,0,0,0,0,0,0,0,1,79,2025-06-29T12:10:03.285444Z
202551,Elazar,0,150,103,16,1070,31,171,94,446,0,0,0,8,21,0,0,0,0,0,17,3,0,0,3,0,10,4,0,0,0,0,433,2,0,1,15,0,0,0,0,2,0,0,1,33,2,0,0,43,6,8,0,0,0,0,0,0,0,0,0,36,2025-06-29T12:10:03.285444Z
203143,Catasstrophic,131,621,575,13,0,4,0,44,45,1740,0,0,4,40,0,0,2,0,0,0,68,0,0,6,0,0,5,0,0,0,0,357,12,0,1,0,0,0,0,0,0,0,0,0,79,0,0,0,74,0,11,0,0,0,19,0,0,0,0,0,0,2025-06-29T12:10:03.285444Z
209070,Tascon,1,597,568,9,0,530,38,1779,0,563,46,10,27,225,0,0,6,0,6,1,81,0,0,0,0,10,3,0,5,1,224,404,18,0,2,5,23,12,1,1,2,0,5,6,103,3,0,1,165,26,3,0,0,0,0,0,0,0,0,0,78,2025-06-29T12:10:03.285444Z
209247,Beenie,0,797,430,51,11,600,0,0,466,907,164,30,91,254,0,0,0,0,32,0,44,0,8,0,0,7,4,0,0,0,0,624,8,26,0,0,0,0,5,3,7,0,2,1,94,24,20,4,235,8,23,0,0,0,0,0,0,0,0,2,74,2025-06-29T12:10:03.285444Z
216167,Buscador,0,41,9,17,0,0,0,748,0,0,0,0,0,1,0,0,1,17,1,0,0,0,0,0,0,45,0,0,1,0,0,6,3,0,0,0,0,0,0,9,1,0,0,0,62,0,0,0,19,31,6,0,0,0,0,0,0,0,0,0,11,2025-06-29T12:10:03.285444Z
227751,zGhostie,0,354,42,94,1304,1375,28,34,0,1,8,0,5,0,0,0,0,0,0,6,134,139,6,16,36,0,3,1,1,0,24,771,0,0,0,0,0,0,4,0,3,0,4,0,341,0,13,0,212,20,11,0,0,0,0,0,0,0,0,0,41,2025-06-29T12:10:03.285444Z
233353,Baatar,0,195,163,11,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,2,0,0,0,2,0,28,1,0,1,0,81,404,112,0,0,0,0,0,0,0,12,0,0,0,34,3,0,0,36,12,2,0,0,0,86,0,0,0,0,0,0,2025-06-29T12:10:03.285444Z
236240,XxAce202xX,0,215,20,55,0,103,0,1347,250,0,3,1,3,9,0,0,0,0,0,0,15,157,0,4,0,64,1,0,8,0,0,69,26,0,0,0,0,0,0,1,9,0,0,1,230,1,12,2,161,114,33,0,0,0,0,0,0,0,0,1,75,2025-06-29T12:10:03.285444Z
239119,Veins,0,158,130,76,2193,0,0,0,519,0,0,0,5,0,0,0,0,0,0,0,147,0,0,0,0,10,197,0,2,1,0,442,88,0,3,0,3,1,0,0,52,0,9,9,288,7,1,0,569,25,0,6,0,0,0,0,0,0,0,0,78,2025-06-29T12:10:03.285444Z
249471,Decisive_Fire,0,198,6,103,0,687,69,594,175,168,180,29,5,6,1,0,0,67,0,109,41,0,0,0,21,0,0,0,0,2,78,34,170,0,0,0,0,0,0,0,3,0,0,0,235,0,41,1,197,27,13,0,0,0,0,0,0,0,0,2,74,2025-06-29T12:10:03.285444Z
251097,Pipeline_P,4,536,491,22,0,826,0,147,167,127,7,1,30,189,0,0,0,71,0,71,0,0,0,6,0,9,1,0,0,16,590,52,18,0,0,96,7,0,1,0,8,1,0,1,150,0,2,1,74,6,11,0,0,0,0,0,0,0,0,0,65,2025-06-29T12:10:03.285444Z
255645,Casey,0,745,644,112,2,1826,1,199,0,0,235,35,30,0,0,0,1,0,46,34,0,0,5,9,1,3,3,0,3,24,1,952,0,0,0,0,0,0,0,1,4,1,0,0,104,0,2,0,47,10,17,0,0,0,0,0,0,0,0,0,53,2025-06-29T12:10:03.285444Z
270923,shaz1,0,5,0,6,5,352,543,66,15,1436,178,29,12,133,75,15,0,584,0,26,816,0,0,34,21,13,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0,1409,0,7,0,880,965,0,0,0,0,0,0,0,0,0,0,35,2025-06-29T12:10:03.285444Z
276835,Neopolitan,3,45,11,28,0,433,190,0,85,869,44,7,13,27,0,0,0,0,0,12,0,0,4,0,6,0,0,0,1,0,0,239,15,0,0,0,0,0,0,0,6,0,0,0,21,1,0,0,49,0,8,0,0,0,0,0,0,0,0,0,61,2025-06-29T12:10:03.285444Z
279547,Salvia,0,166,1,9,35,13,0,2007,0,0,10,67,1,0,0,0,0,0,0,57,0,0,2,11,1,0,1,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,3,72,0,0,9,73,8,6,27,0,0,0,0,0,0,1,0,0,2025-06-29T12:10:03.285444Z
282802,YYZ,0,68,49,8,1,51,108,2661,236,0,140,33,12,81,0,0,18,0,0,40,0,0,17,2,0,3,0,0,1,0,0,471,25,0,0,0,0,0,0,0,5,0,0,0,62,2,0,2,85,25,2,0,0,0,0,0,0,0,0,0,73,2025-06-29T12:10:03.285444Z
289811,crackhead,1,143,21,11,552,0,997,0,0,0,0,0,0,0,0,0,0,0,0,45,0,3,0,10,26,0,1,0,3,1,392,114,0,31,0,0,0,0,0,0,1,1,0,0,86,2,0,0,44,20,8,6,0,0,0,0,0,0,0,0,10,2025-06-29T12:10:03.285444Z
292383,Gooner_Steve,0,122,56,57,1622,129,0,972,263,0,136,49,4,18,0,0,1,2,0,40,0,43,18,13,0,23,8,0,8,0,0,1,70,0,0,0,0,0,0,0,3,0,0,0,129,0,28,3,206,43,0,0,1,0,0,0,0,10,0,1,68,2025-06-29T12:10:03.285444Z
302832,Duk4,0,348,0,126,0,1111,0,458,70,3,81,13,23,112,0,0,5,29,58,4,37,3,2,1,3,4,14,0,0,10,0,426,2,0,0,0,0,0,0,0,3,0,0,0,138,166,203,1,2172,8,49,0,0,0,0,0,0,0,0,0,77,2025-06-29T12:10:03.285444Z
304285,dvatt,0,636,589,42,0,2072,12,7,482,0,132,26,30,134,0,0,0,0,0,115,0,0,0,0,0,32,3,0,0,2,21,602,10,0,0,0,0,0,0,0,8,0,0,0,141,9,24,0,221,8,3,0,0,0,0,0,0,0,0,2,81,2025-06-29T12:10:03.285444Z
307861,MrWonderful,3,392,52,128,527,103,147,177,264,823,127,23,12,0,1,0,0,0,10,62,0,84,31,0,0,130,1,0,1,6,222,226,43,0,1,0,0,0,0,0,4,1,0,2,309,8,31,0,249,139,19,0,0,0,8,0,0,0,0,12,47,2025-06-29T12:10:03.285444Z
310288,aFakeTeddy,0,463,425,20,2,2097,99,95,0,0,0,0,21,0,0,0,1,0,0,20,0,0,0,2,0,3,3,0,0,0,0,647,0,2,0,0,12,0,2,4,7,1,2,1,27,0,0,0,18,5,4,0,0,0,0,0,0,0,0,0,79,2025-06-29T12:10:03.285444Z
310592,purplefreak8,0,180,36,28,0,838,0,228,0,0,0,0,2,0,0,0,0,0,10,7,0,0,0,0,10,0,33,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,60,0,0,1,60,51,26,0,0,0,0,1,0,0,0,0,0,2025-06-29T12:10:03.285444Z
318855,Skeletron,16,230,40,134,0,2945,0,20,36,228,193,35,15,131,0,0,0,0,0,69,0,0,33,3,24,16,5,0,1,4,0,578,27,0,0,0,0,0,0,0,5,0,0,0,135,81,124,0,996,5,8,1,0,0,0,0,0,0,0,1,67,2025-06-29T12:10:03.285444Z
322419,Cubis,0,259,259,0,0,11,12,89,7,1525,7,35,3,84,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21,10,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,1,2025-06-29T12:10:03.285444Z
327135,PainfulPoetry,0,230,138,69,0,1652,24,828,24,357,236,55,7,86,0,0,0,0,0,55,0,23,39,1,2,0,6,0,3,0,0,619,92,0,0,0,0,0,0,0,6,0,0,1,128,3,16,0,185,12,10,0,0,0,0,0,0,0,0,0,75,2025-06-29T12:10:03.285444Z
333493,TheAnaesthetist,0,208,76,21,0,1587,2069,6,28,71,0,151,34,222,1,0,0,0,0,69,0,0,2,2,7,12,2,0,1,1,0,169,241,0,0,0,1,0,1,14,6,1,18,2,81,1,1,240,110,10,10,2,0,0,0,0,0,0,0,0,78,2025-06-29T12:10:03.285444Z
340367,Kelsie,0,0,0,15,185,0,10,975,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,70,2025-06-29T12:10:03.285444Z
341828,Xtreme1,0,147,0,69,275,530,37,351,394,87,358,61,5,22,0,0,0,0,0,0,0,10,1,2,0,50,1,0,0,0,0,98,110,0,0,0,0,0,0,0,1,0,1,0,61,4,52,0,191,1,2,0,0,0,0,1,0,0,0,13,28,2025-06-29T12:10:03.285444Z
342504,wyldchyld,1,35,7,12,0,4,19118,18,0,0,0,16,5,0,0,0,0,3,0,20,0,0,0,0,0,5,0,0,0,0,1,554,0,0,0,0,0,0,0,0,3,0,0,0,18,1,0,0,32,2,1,0,0,0,0,0,0,0,0,3,64,2025-06-29T12:10:03.285444Z
344411,Subversion,0,144,84,40,0,148,0,3221,514,49,185,68,77,155,0,0,77,0,0,71,1,0,2,1,2,13,3,0,1,2,0,0,264,0,0,0,0,0,0,0,0,0,0,0,92,11,28,3,148,30,1,228,0,0,0,0,0,7,0,5,0,2025-06-29T12:10:03.285444Z
351311,SharpSplinter,0,108,49,33,0,0,0,2465,0,0,18,7,4,39,8,0,5,0,0,0,30,0,0,2,0,0,0,0,3,7,0,277,4,0,0,0,0,0,0,0,5,0,0,0,34,1,44,0,34,14,6,0,0,0,0,0,0,0,0,0,79,2025-06-29T12:10:03.285444Z
352935,dmb2427,0,125,6,25,0,0,461,840,0,0,21,29,1,0,0,0,21,4,3,17,0,0,0,1,45,0,11,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,3,0,1,66,40,20,0,0,0,0,0,0,0,0,0,0,2025-06-29T12:10:03.285444Z
361253,Mattchew,0,375,375,1,0,18,6,0,0,7,136,23,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,627,1,3,0,0,3,3,2,1,4,4,2,2,0,0,0,0,0,0,0,227,0,0,0,0,0,0,0,0,2,2025-06-29T12:10:03.285444Z
362445,NJ-outlaw,0,0,0,3,602,147,0,0,0,328,97,14,3,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,2025-06-29T12:10:03.285444Z
