UID,Friends,Enemies,Karma,ForumPosts,Detail,Description,Until,Networth,Played
21732,10,84,0,199,Account marked for deletion,In federal jail permanently,1851292800,206707663,239755
21779,2,0,0,196,Account marked for deletion,In federal jail permanently,1851292800,57919361,0
22115,1,7,0,32,Account marked for deletion,In federal jail permanently,1851292800,12883177,128927
22389,3,7,0,137,Account marked for deletion,In federal jail permanently,1851292800,2174007254,265755
22551,1,4,0,35,Account marked for deletion,In federal jail permanently,1851292800,27041042,0
23213,4,8,0,36,Account marked for deletion,In federal jail permanently,1851292800,4961052268,776786
23222,13,8,0,932,RMT,In federal jail permanently,1851292800,1338922214,663965
23300,4,1,0,393,Account marked for deletion,In federal jail permanently,1851292800,9578071052,566131
26059,15,4,0,181,Account marked for deletion,In federal jail permanently,1851292800,236230531,425839
26597,6,6,0,91,Account marked for deletion,In federal jail permanently,1851292800,3290000,859715
28001,40,6,0,497,Account marked for deletion,In federal jail permanently,1851292800,11887083545,60
29175,16,8,0,151,Account marked for deletion,In federal jail permanently,1851292800,950815632,3657213
29545,57,14,2,192,Marked for deletion,In federal jail permanently,1851292800,229971698723,2641203
30461,3,2,2,76,Account marked for deletion,In federal jail permanently,1851292800,269905880,689962
30745,19,28,9,87,Account held until further notice,In federal jail temporarily,1822521600,-1439336452,7953460
31655,2,0,0,1,Account marked for deletion,In federal jail permanently,1851292800,60437410,0
31930,0,0,0,114,Account marked for deletion,In federal jail permanently,1851292800,25675582,719
33131,12,52,0,15,Account marked for deletion,In federal jail permanently,1851292800,5860487377,2061247
33308,11,7,0,47,Account marked for deletion,In federal jail permanently,1851292800,1171291741,393725
33954,7,6,0,32,Account held until further notice,In federal jail temporarily,1822521600,-22974082,236978
35579,3,2,0,11,Account marked for deletion,In federal jail permanently,1851292800,21988333,28378
36189,1,0,0,19,Account marked for deletion,In federal jail permanently,1851292800,13249767,0
38374,0,10,0,75,Account marked for deletion,In federal jail permanently,1851292800,10492126,0
38486,2,3,0,7,Staff See Notes,In federal jail permanently,1851292800,21788446,0
38545,6,3,0,8,Account marked for deletion,In federal jail permanently,1851292800,5044568,0
38546,3,7,0,12,Account marked for deletion,In federal jail permanently,1851292800,1766854,329412
38642,4,2,3,152,RMT,In federal jail permanently,1851292800,3536017222,907205
38663,18,9,0,85,Account marked for deletion,In federal jail permanently,1851292800,27923675,3041503
38798,35,43,0,5985,Account marked for deletion,In federal jail permanently,1851292800,1604506849,0
39242,13,3,0,272,Account marked for deletion,In federal jail permanently,1851292800,9272984703,731230
39968,8,4,0,13,Account marked for deletion,In federal jail permanently,1851292800,166719749,51550
40916,57,31,0,372,Account marked for deletion,In federal jail permanently,1851292800,733510695,3003532
41008,5,4,0,2,Compromising an Account,In federal jail permanently,1851292800,26442290,797092
42123,7,3,24,11,Account marked for deletion,In federal jail permanently,1851292800,3308151,129094
43534,1,5,0,1,Account marked for deletion,In federal jail permanently,1851292800,325367405,617791
46393,0,2,0,9,Account marked for deletion,In federal jail permanently,1851292800,1217968424,300578
46983,28,2,16,62,Account marked for deletion,In federal jail permanently,1851292800,785070032,6457171
47056,4,3,0,9,Account marked for deletion,In federal jail permanently,1851292800,3801050280,626190
47425,4,8,509,136,Account marked for deletion,In federal jail permanently,1851292800,-4221810,774553
47558,3,9,0,12,Multiple Offences,In federal jail permanently,1851292800,6058042,120
47578,10,2,0,2748,Staff See Notes,In federal jail permanently,1851292800,148259981,0
47978,4,5,0,12,Account marked for deletion,In federal jail permanently,1851292800,4314951280,387709
48070,15,5,0,480,Account marked for deletion,In federal jail permanently,1851292800,25258363,202360
48512,4,2,0,89,Account marked for deletion,In federal jail permanently,1851292800,123641902,4858
49014,10,4,0,209,Account marked for deletion,In federal jail permanently,1851292800,1113470953,3089794
50619,14,10,0,1254,Account marked for deletion,In federal jail permanently,1851292800,5324511587,1334211
51573,5,4,0,16,Account marked for deletion,In federal jail permanently,1851292800,148563493,180850
52808,7,1,0,204,RMT,In federal jail permanently,1851292800,252290895,406745
54101,12,1,0,236,Account marked for deletion,In federal jail permanently,1851292800,241685242,182370
54712,14,2,0,301,Account marked for deletion,In federal jail permanently,1851292800,107289950,1131452
55016,1,22,0,0,Account marked for Deletion,In federal jail permanently,1851292800,1879191,132
55945,5,4,0,140,Account marked for deletion,In federal jail permanently,1851292800,44880116,71632
56180,1,7,0,5,Account marked for deletion,In federal jail permanently,1851292800,14873941,300
56283,5,1,0,56,Account marked for deletion,In federal jail permanently,1851292800,6069720,0
57117,4,3,0,36,Account marked for deletion,In federal jail permanently,1851292800,6273426272,167987
57158,5,1,0,7,Account held until further notice,In federal jail temporarily,1822521600,38856555,290181
57507,5,2,0,327,Account marked for deletion,In federal jail permanently,1851292800,8554834768,0
57666,9,73,0,6,Account marked for deletion,In federal jail permanently,1851292800,8973515,8468
57769,15,31,0,1047,Account marked for deletion,In federal jail permanently,1851292800,346146769,4007
58065,2,6,0,72,Account Marked For Deletion.,In federal jail permanently,1851292800,14954977,0
58421,10,1,0,42,Account marked for deletion,In federal jail permanently,1851292800,24258062306,952083
58655,1,0,0,0,Account marked for deletion,In federal jail permanently,1851292800,28807419,0
59514,0,0,0,4,Account marked for deletion,In federal jail permanently,1851292800,13975194618,320254
60613,14,14,0,408,Account marked for deletion,In federal jail permanently,1851292800,27704514,356
61174,1,0,0,3,Account marked for deletion,In federal jail permanently,1851292800,-10415789,427
61635,49,9,18,96,Account held until further notice,In federal jail temporarily,1822521600,33130822,6093075
61717,4,5,0,4,Account marked for deletion,In federal jail permanently,1851292800,12047022037,1817774
61908,20,6,0,23,Staff See Notes,In federal jail permanently,1851292800,23419755,0
62371,2,2,0,130,Account marked for deletion,In federal jail permanently,1851292800,8108451,0
63655,2,2,0,10,Account marked for deletion,In federal jail permanently,1851292800,31910959,120
64377,18,4,0,84,Bug Abuse,In federal jail permanently,1851292800,81263323488,0
64710,13,2,0,485,Account marked for deletion,In federal jail permanently,1851292800,2526979016,147253
64993,17,10,0,501,Account marked for deletion,In federal jail permanently,1851292800,13498624836,2131258
64994,11,3,0,22,Bug Abuse,In federal jail permanently,1851292800,97495949144,0
65695,6,4,0,204,Account marked for deletion,In federal jail permanently,1851292800,473541167,100733
66765,4,2,0,605,"",In federal jail permanently,1851292800,116328674,256033
67169,3,1,0,53,Account marked for deletion,In federal jail permanently,1851292800,119564358,180
67242,0,0,0,27,Account marked for deletion,In federal jail permanently,1851292800,1755947275,44947
67834,12,3,0,30,Account marked for deletion,In federal jail permanently,1851292800,316809669,398387
69670,30,6,0,246,Account marked for deletion,In federal jail permanently,1851292800,1110030429,3898387
70299,1,1,0,16,Account marked for deletion,In federal jail permanently,1851292800,39760471,246
70407,6,7,0,22,Account marked for deletion,In federal jail permanently,1851292800,704496559,765671
71525,0,2,0,10,Account marked for deletion,In federal jail permanently,1851292800,23327562,0
72099,5,1,0,35,Account marked for deletion,In federal jail permanently,1851292800,34547255,0
72683,43,23,0,1779,Account marked for deletion,In federal jail permanently,1851292800,14199530708,0
75837,3,6,0,7,Account marked for deletion,In federal jail permanently,1851292800,12157353684,0
76280,1,1,0,0,Account marked for deletion,In federal jail permanently,1851292800,2695880,0
78230,0,1,0,4,Account marked for deletion,In federal jail permanently,1851292800,11384692,0
79285,23,11,0,250,Account marked for deletion,In federal jail permanently,1851292800,46125695,138042
79905,2,3,0,24,Account marked for deletion,In federal jail permanently,1851292800,9233054,0
80262,6,3,0,10,RMT,In federal jail permanently,1851292800,3830807279,848397
80349,15,2,171,194,Staff see notes,In federal jail permanently,1851292800,8854792283,3061411
80580,6,0,0,79,Account marked for deletion,In federal jail permanently,1851292800,69617148,60
80792,1,4,0,0,Account held until further notice,In federal jail temporarily,1822521600,8364645,64309
81593,4,0,0,597,Account marked for deletion,In federal jail permanently,1851292800,4544523702,238
81825,66,13,0,1630,Account marked for deletion,In federal jail permanently,1851292800,599926493,6385748
83856,6,10,0,174,Account marked for deletion,In federal jail permanently,1851292800,83645668,0
83865,3,0,0,29,Account marked for deletion,In federal jail permanently,1851292800,14523520,357942
84481,4,0,0,42,Account marked for deletion,In federal jail permanently,1851292800,11923198823,374710
84885,22,21,0,2209,I suck my thumb and am too stupid to never login to torncity all by myself. So i have now shown everyone what a complete idiot i really am. Goodbye. P.S ..I am so stupid I will make multis too.,In federal jail permanently,1851292800,4634255,0
85137,21,14,0,39,Bug Abuse - Account marked for Deletion,In federal jail permanently,1851292800,21546734992,7458827
85543,69,16,374,391,Account marked for deletion,In federal jail permanently,1851292800,-1813239462,9813950
86214,0,0,0,35,Account marked for deletion,In federal jail permanently,1851292800,220637498,41568
86797,7,2,1,14,Account held until further notice,In federal jail temporarily,1822521600,434947068,206962
87038,4,3,0,177,Account marked for deletion,In federal jail permanently,1851292800,64539874,37211
87331,1,1,3,2,Account marked for deletion,In federal jail permanently,1851292800,-1618006,98095
88038,42,43,104,28,Account marked for deletion,In federal jail permanently,1851292800,5952972365,1586505
91603,24,13,0,242,Account marked for deletion,In federal jail permanently,1851292800,32509185032,6776787
93790,16,2,0,19,Account marked for deletion,In federal jail permanently,1851292800,3948763388,1095144
94428,55,15,0,45,Account marked for deletion,In federal jail permanently,1851292800,5003939183,7153077
96106,5,20,0,1,Account marked for deletion,In federal jail permanently,1851292800,798331752,38657
96255,7,9,0,61,Account marked for deletion,In federal jail permanently,1851292800,5144719379,2959725
96331,36,4,1,73,Account marked for deletion,In federal jail permanently,1851292800,41542427982,14999512
96450,1,2,0,4,Account marked for deletion,In federal jail permanently,1851292800,1054927277,122912
96818,68,29,0,7946,Account marked for deletion,In federal jail permanently,1851292800,648301639,0
98309,3,1,0,9,Account marked for deletion,In federal jail permanently,1851292800,2260536838,637802
98772,2,2,0,231,RMT,In federal jail permanently,1851292800,312393089,963334
101119,16,3,0,45,Account marked for deletion,In federal jail permanently,1851292800,210265707,0
101339,20,9,0,1450,Account marked for deletion,In federal jail permanently,1851292800,3200204,2206609
102052,18,4,0,87,Account held until further notice,In federal jail temporarily,1822521600,-331354367,585351
102326,17,10,0,364,Account marked for deletion,In federal jail permanently,1851292800,523077676,11241
102645,2,2,0,37,RMT,In federal jail permanently,1851292800,2537258635,443787
103428,2,6,0,2,Account marked for deletion,In federal jail permanently,1851292800,63425185,665
103650,1,5,0,83,Account marked for deletion,In federal jail permanently,1851292800,2515303678,940110
105051,5,1,0,73,Account marked for deletion,In federal jail permanently,1851292800,1556802603,2304
106354,0,1,0,2,Account marked for deletion,In federal jail permanently,1851292800,16396025,16162
106700,3,6,0,1,Account marked for deletion,In federal jail permanently,1851292800,5280980730,1074703
107406,1,0,0,26,Account marked for deletion,In federal jail permanently,1851292800,37808032,225620
107828,6,1,0,513,Account marked for deletion,In federal jail permanently,1851292800,10846963,33068
107915,4,7,0,20,Account marked for deletion,In federal jail permanently,1851292800,329030964,213255
109636,5,1,0,217,Account held until further notice,In federal jail temporarily,1822521600,4320031195,419146
109916,5,5,0,34,Account marked for deletion,In federal jail permanently,1851292800,6730316,0
110083,6,5,0,76,Account marked for deletion,In federal jail permanently,1851292800,33869576657,190010
110510,1,3,0,3,Account marked for deletion,In federal jail permanently,1851292800,2400936642,897465
112186,0,5,0,0,account marked for deletion,In federal jail permanently,1851292800,6551235,0
112548,7,0,0,126,Account marked for deletion,In federal jail permanently,1851292800,367750179,0
112557,18,7,0,1738,Account held until further notice,In federal jail temporarily,1822521600,-199451799,258744
112955,2,1,0,3,Account marked for deletion,In federal jail permanently,1851292800,30605377,297
113812,13,3,0,136,Account marked for deletion,In federal jail permanently,1851292800,11850228187,1565233
113839,49,47,0,2692,Account marked for deletion,In federal jail permanently,1851292800,184738332,4407330
114519,0,0,0,0,Account marked for deletion,In federal jail permanently,1851292800,52389122,0
114891,14,7,0,677,Account marked for deletion,In federal jail permanently,1851292800,80434271,1392506
114897,2,0,0,0,Account marked for deletion,In federal jail permanently,1851292800,27323478,117673
115437,1,1,0,6,Account marked for deletion,In federal jail permanently,1851292800,36993726,660
116301,7,10,0,163,Account marked for deletion,In federal jail permanently,1851292800,2093000168,48241
116524,18,6,2,263,Account held until further notice,In federal jail temporarily,1822521600,24503242501,3049078
117080,1,1,0,0,Account marked for deletion,In federal jail permanently,1851292800,128801862,472548
118210,97,48,0,46,Bug Abuse - Account Marked for Deletion,In federal jail permanently,1851292800,59054749489,4659075
118334,1,1,0,5,Account marked for deletion,In federal jail permanently,1851292800,126246000,183334
119206,0,0,0,19,Account marked for deletion,In federal jail permanently,1851292800,717841188,0
119207,2,8,0,117,Account marked for deletion,In federal jail permanently,1851292800,3224694,0
119480,114,42,939,569,Account marked for deletion,In federal jail permanently,1851292800,3399238446,6778263
121164,2,1,0,70,Account marked for deletion,In federal jail permanently,1851292800,4302606,0
123018,6,10,0,10,Account marked for deletion,In federal jail permanently,1851292800,168069253,8950
123053,4,6,0,121,Account marked for deletion,In federal jail permanently,1851292800,14987045,0
123064,6,4,0,26,Account marked for deletion,In federal jail permanently,1851292800,2740064073,244491
124376,0,0,0,27,Account marked for deletion,In federal jail permanently,1851292800,30280763,47564
125795,2,1,0,12,Account marked for deletion,In federal jail permanently,1851292800,15961198124,154831
125806,5,14,0,2,Account marked for deletion,In federal jail permanently,1851292800,3549841211,60905
127130,15,7,0,261,Account marked for deletion,In federal jail permanently,1851292800,11006448,658
127232,106,75,0,7918,Account marked for deletion,In federal jail permanently,1851292800,872829670,5425582
130036,0,1,0,0,Account marked for deletion. ,In federal jail permanently,1851292800,104177675,52860
131886,6,8,0,331,Account marked for deletion,In federal jail permanently,1851292800,-55442236,29424
133094,56,9,8,60,Account marked for deletion,In federal jail permanently,1851292800,-920832887,4413936
135442,28,20,0,200,Account marked for deletion,In federal jail permanently,1851292800,326489966,0
138328,0,0,0,2,Account marked for deletion,In federal jail permanently,1851292800,48912976,0
138701,3,1,0,54,Account marked for deletion,In federal jail permanently,1851292800,17203780,0
139052,2,5,0,2,Staff See Notes,In federal jail permanently,1851292800,16712006,0
140980,0,4,0,0,Account marked for deletion,In federal jail permanently,1851292800,3217897,48823
141602,1,2,0,6,Account marked for deletion,In federal jail permanently,1851292800,41919919,120
141866,38,17,31,46,Account marked for deletion,In federal jail permanently,1851292800,632106339,3251952
144794,2,0,0,0,Account marked for deletion,In federal jail permanently,1851292800,8819650,76555
144887,54,23,65,38,Account marked for deletion,In federal jail permanently,1851292800,-241981742,743646
145229,6,12,2,5,Account marked for deletion,In federal jail permanently,1851292800,7181493,525090
145906,1,1,0,28,account marked for deletion,In federal jail permanently,1851292800,9102531,417082
147067,10,9,0,2157,Multiple Accounts,In federal jail permanently,1851292800,95748182,540
147158,0,1,0,0,Account marked for deletion,In federal jail permanently,1851292800,509167468,2030
147777,2,0,0,29,Account marked for Deletion,In federal jail permanently,1851292800,246636892,120
148419,0,5,0,3,Account marked for deletion,In federal jail permanently,1851292800,7054347,0
150070,1,0,0,4,Account marked for Deletion,In federal jail permanently,1851292800,151625708,240
150505,20,12,0,147,Account marked for deletion,In federal jail permanently,1851292800,14453828,120
151973,2,1,0,35,Account marked for deletion,In federal jail permanently,1851292800,-196654416,42717
152310,13,1,0,30,Account marked for deletion,In federal jail permanently,1851292800,26141034,801
154113,0,0,0,1,Staff see notes,In federal jail permanently,1851292800,328612,465
154545,4,4,0,2,Account marked for deletion,In federal jail permanently,1851292800,41532830,121
156751,15,7,0,78,Account marked for deletion,In federal jail permanently,1851292800,322011962,1058111
158107,3,1,0,1,Account marked for deletion,In federal jail permanently,1851292800,440959066,1369997
158590,1,0,0,10,Account marked for Deletion,In federal jail permanently,1851292800,127603292,360
158983,21,2,0,74,Account marked for deletion,In federal jail permanently,1851292800,2299213636,1610446
159062,55,34,0,1638,Account marked for deletion,In federal jail permanently,1851292800,28560946,107943
159543,2,0,0,0,Account marked for deletion,In federal jail permanently,1851292800,6622545278,433127
159790,1,0,0,2,Account marked for deletion,In federal jail permanently,1851292800,-196926381,297485
163284,6,7,0,1,Account marked for deletion,In federal jail permanently,1851292800,2451800790,669579
163360,1,2,8,9,Account marked for deletion,In federal jail permanently,1851292800,75343063,97398
168659,2,1,0,0,Account marked for deletion,In federal jail permanently,1851292800,-118471252,356142
168716,6,1,0,188,Account marked for deletion,In federal jail permanently,1851292800,3922169841,354351
169371,10,10,1,2,Account marked for deletion,In federal jail permanently,1851292800,8200612668,2036238
169789,1,1,0,140,Account marked for deletion,In federal jail permanently,1851292800,2746818601,395942
170679,5,8,0,61,Account marked for deletion,In federal jail permanently,1851292800,12031648202,1879968
170951,2,0,0,22,Account marked for deletion,In federal jail permanently,1851292800,203973554,180
172282,4,20,0,45,Account marked for deletion,In federal jail permanently,1851292800,-182627248,831165
174276,10,0,0,17,Account marked for deletion,In federal jail permanently,1851292800,10777434391,187847
174633,1,0,0,1,Account marked for deletion,In federal jail permanently,1851292800,20366314,15519
175025,3,0,0,115,Account marked for deletion,In federal jail permanently,1851292800,161076609,14247
175363,4,2,0,17,Account marked for deletion,In federal jail permanently,1851292800,94524590,868580
176558,20,27,0,2710,Account held until further notice,In federal jail temporarily,1822521600,-357486289,4088283
176575,8,1,0,12,Account marked for deletion,In federal jail permanently,1851292800,2458045618,243876
176676,5,7,0,3,Account marked for deletion,In federal jail permanently,1851292800,101445491,350437
177502,3,29,0,190,Account marked for deletion,In federal jail permanently,1851292800,303081,0
178210,1,3,0,1,Account marked for deletion,In federal jail permanently,1851292800,93503080,107807
178822,6,4,0,2,Compromising an Account,In federal jail permanently,1851292800,950286679,1537652
179552,4,1,0,9,Account marked for deletion,In federal jail permanently,1851292800,65632920,0
179819,6,0,0,87,Account marked for deletion,In federal jail permanently,1851292800,383405314,0
180625,0,0,0,5,Compromising an Account,In federal jail permanently,1851292800,115352385,16025
180649,0,0,0,1,Account marked for deletion,In federal jail permanently,1851292800,166813,0
180732,19,2,0,343,Account marked for deletion,In federal jail permanently,1851292800,26132350158,2655038
182079,2,0,0,1,Account marked for deletion,In federal jail permanently,1851292800,2920916,177601
182115,50,8,0,824,Account marked for deletion,In federal jail permanently,1851292800,18032732,1175727
182241,4,3,0,1,Account marked for deletion,In federal jail permanently,1851292800,5781598,1935
182338,13,7,0,56,Account marked for deletion,In federal jail permanently,1851292800,3097859879,396668
182397,23,12,0,157,Account marked for deletion,In federal jail permanently,1851292800,-203519433,2538716
182426,3,2,0,0,Account marked for deletion,In federal jail permanently,1851292800,2429114625,341050
182544,6,4,0,87,Account marked for deletion,In federal jail permanently,1851292800,41253932,15403
183739,4,2,1,2,Account marked for deletion,In federal jail permanently,1851292800,146621590,353101
183832,0,0,0,0,Account marked for deletion,In federal jail permanently,1851292800,38147073,0
183883,0,0,0,0,Account marked for deletion,In federal jail permanently,1851292800,11331203,0
184028,36,16,0,1407,Account marked for deletion,In federal jail permanently,1851292800,44821558209,1169536
184041,17,3,0,700,Account marked for deletion,In federal jail permanently,1851292800,9138430656,250218
184116,7,6,0,102,Account marked for deletion,In federal jail permanently,1851292800,138034921,3279261
184150,6,5,0,108,Account marked for deletion,In federal jail permanently,1851292800,8839177,1049092
184241,3,9,0,141,Account marked for deletion,In federal jail permanently,1851292800,7829168620,120
184571,4,1,0,1,Compromising an Account,In federal jail permanently,1851292800,459110,102525
184908,0,1,0,4,Account marked for deletion,In federal jail permanently,1851292800,2369662310,21622
184910,0,0,0,5,Account marked for deletion,In federal jail permanently,1851292800,4191566,17338
185051,2,2,0,1,Account marked for deletion,In federal jail permanently,1851292800,44220411,0
185333,7,7,0,88,Account marked for deletion,In federal jail permanently,1851292800,-1163115,12387
185794,2,2,0,1,Account marked for deletion,In federal jail permanently,1851292800,94406076,217733
186073,1,2,0,2,Multiple Accounts,In federal jail permanently,1851292800,1299341,0
186590,3,6,0,32,Account marked for deletion,In federal jail permanently,1851292800,18933164,1124484
187572,1,0,2,13,Account held until further notice,In federal jail temporarily,1822521600,6523461,105812
189309,7,1,1,38,Account held until further notice,In federal jail temporarily,1822521600,-77385498,968366
189399,244,201,3,48,Account marked for deletion,In federal jail permanently,1851292800,64807972415,55114431
189687,0,4,0,0,Account marked for deletion,In federal jail permanently,1851292800,17884241,0
192156,3,1,0,1,Account marked for deletion,In federal jail permanently,1851292800,48523912,352123
192220,0,0,0,1693,Account marked for deletion,In federal jail permanently,1851292800,1105269,0
192380,9,0,0,13,Account marked for deletion,In federal jail permanently,1851292800,25003265635,2592487
192441,1,1,0,4,Account marked for deletion,In federal jail permanently,1851292800,3418472479,585484
192553,1,0,0,0,Account marked for deletion,In federal jail permanently,1851292800,611753562,33486
192811,0,4,0,2,Account marked for deletion,In federal jail permanently,1851292800,25107500,29354
192825,9,3,0,14,Account marked for deletion,In federal jail permanently,1851292800,241576677,459737
193405,3,3,0,1,Account marked for deletion,In federal jail permanently,1851292800,135209800,14677
193501,6,14,0,62,Account marked for deletion,In federal jail permanently,1851292800,10849291,0
193850,16,17,0,132,Account marked for deletion,In federal jail permanently,1851292800,-344294019,7765811
194428,1,1,0,0,Account marked for deletion,In federal jail permanently,1851292800,-32757070,254
195678,0,0,0,64,Account marked for deletion,In federal jail permanently,1851292800,123395426,0
195729,0,0,0,3,Account marked for deletion,In federal jail permanently,1851292800,2438237531,473925
195905,1,2,0,17,Account marked for deletion,In federal jail permanently,1851292800,14132165,196630
196191,23,26,0,184,Account marked for deletion,In federal jail permanently,1851292800,3358566382,6128044
196331,6,1,0,34,Account marked for deletion,In federal jail permanently,1851292800,6185711760,143581
196368,0,0,0,0,Account marked for deletion,In federal jail permanently,1851292800,23768154,0
196376,13,1,0,10,Account marked for deletion,In federal jail permanently,1851292800,2266435647,203691
196491,1,1,0,1,Account marked for deletion,In federal jail permanently,1851292800,245296,0
196507,1,1,0,0,Account marked for deletion,In federal jail permanently,1851292800,62703810,359135
196833,3,39,0,0,Account marked for deletion,In federal jail permanently,1851292800,31335921,0
196950,2,0,0,10,Compromising an Account,In federal jail permanently,1851292800,185266972,269832
197173,3,0,0,463,RMT,In federal jail permanently,1851292800,321136988,168423
197528,2,3,0,2,Account marked for deletion,In federal jail permanently,1851292800,243954977,25292
197760,4,3,0,3,Account marked for deletion,In federal jail permanently,1851292800,-130991773,323074
197813,1,1,0,42,Account marked for deletion,In federal jail permanently,1851292800,243718542,0
197920,99,99,0,486,Donation Issues,In federal jail permanently,1851292800,20003754,0
197986,2,2,0,6,Account marked for deletion,In federal jail permanently,1851292800,469296818,0
198074,13,8,1,445,Account marked for deletion,In federal jail permanently,1851292800,105608196359,1188790
198258,16,3,0,2051,Account marked for deletion,In federal jail permanently,1851292800,53701486,921035
198344,2,1,0,0,Account marked for deletion,In federal jail permanently,1851292800,1983357188,187591
198553,7,7,0,18,Account marked for deletion,In federal jail permanently,1851292800,40887989,2075796
198676,5,4,0,216,Account marked for deletion,In federal jail permanently,1851292800,-237366796,118408
198903,1,3,0,22,'Donation chargeback or cancel - auto fed',In federal jail permanently,1851292800,322262440,1300962
199077,18,4,0,70,Account marked for deletion,In federal jail permanently,1851292800,4790955158,4709704
199298,0,0,0,0,Account marked for deletion,In federal jail permanently,1851292800,989960,0
199673,13,3,0,105,Account marked for deletion,In federal jail permanently,1851292800,24946020930,1515258
200035,15,1,0,21,Bug Abuse,In federal jail permanently,1851292800,61503655341,0
200479,0,2,0,0,Account marked for deletion,In federal jail permanently,1851292800,5992869,0
201833,6,3,0,414,Account marked for deletion,In federal jail permanently,1851292800,244513455,79525
202097,2,4,0,18,Account marked for deletion,In federal jail permanently,1851292800,5107279300,933989
202327,0,2,0,9,Account marked for deletion,In federal jail permanently,1851292800,852823,11100
202546,0,0,0,1,Account marked for deletion,In federal jail permanently,1851292800,25560076,0
202743,28,5,0,426,Bug Abuse,In federal jail permanently,1851292800,61085630147,0
203379,14,4,0,131,Account marked for deletion,In federal jail permanently,1851292800,2299149894,1602949
203430,10,3,0,3,Account marked for deletion,In federal jail permanently,1851292800,3160046793,701871
203693,2,4,0,39,Account marked for deletion,In federal jail permanently,1851292800,21224654,9765
203983,0,5,0,87,Account marked for deletion,In federal jail permanently,1851292800,184442233,330014
204033,0,0,0,13,Account marked for deletion,In federal jail permanently,1851292800,33771151,0
204136,7,2,0,113,Account marked for deletion,In federal jail permanently,1851292800,23067654877,310286
204345,3,3,0,153,Account marked for deletion,In federal jail permanently,1851292800,9791487843,0
204434,10,4,0,9,Account marked for deletion,In federal jail permanently,1851292800,8716874,15356
205382,13,1,0,22,Account marked for deletion,In federal jail permanently,1851292800,1822529979,600904
205610,620,65,570,701,Account marked for deletion,In federal jail permanently,1851292800,95149965878,42757145
205661,4,1,0,5,Account marked for deletion,In federal jail permanently,1851292800,20718588,474870
205891,12,3,0,1683,Account marked for deletion,In federal jail permanently,1851292800,373185458,117332
205914,8,7,0,58,Account marked for deletion,In federal jail permanently,1851292800,483592476,575072
205916,12,4,0,30,Account marked for deletion,In federal jail permanently,1851292800,68381203,0
207303,54,16,0,2102,Account marked for deletion,In federal jail permanently,1851292800,51665938060,0
207455,12,3,0,1570,Account marked for deletion. ,In federal jail permanently,1851292800,33635673606,0
207725,9,3,0,25,Account marked for deletion,In federal jail permanently,1851292800,34159176,1748237
208656,8,2,0,48,Donation issues / Multiple accounts,In federal jail permanently,1851292800,7395344288,4472638
210266,29,12,0,9,Account marked for deletion,In federal jail permanently,1851292800,60093357553,1509324
