NumID,status_descr,status_details,playername,level,playerage,rank,InitSignUp,last_action,total_duration,total_units,Date Added
2711529,In federal jail temporarily,Account held until further notice,RaulPunica,14,118,Average Egotist,9/9/2021 8:36:36 AM,1/3/2022 12:13:42 PM,2,days,1/5/2022 9:33:57 PM
2720741,In federal jail permanently,Account marked for deletion,KZA,20,94,Reasonable Outcast,10/3/2021 1:53:48 PM,1/5/2022 12:41:33 PM,16,hours,1/5/2022 9:33:57 PM
2723005,In federal jail permanently,Account marked for deletion,Gracelynn,7,86,Novice Scavenger,10/11/2021 5:00:04 PM,1/4/2022 7:12:29 PM,1,day,1/5/2022 9:33:57 PM
2728729,In federal jail permanently,Account marked for deletion,Baigei,12,66,Average Scavenger,11/1/2021 5:39:05 AM,1/1/2022 8:52:53 AM,4,days,1/5/2022 9:33:57 PM
2730361,In federal jail permanently,Account marked for deletion,Nalaini,16,59,Average Trader,11/7/2021 11:29:51 AM,1/5/2022 12:36:39 PM,17,hours,1/5/2022 9:33:57 PM
2730522,In federal jail permanently,Account marked for deletion,Mice,15,59,Reasonable Nudist,11/8/2021 2:45:21 AM,1/5/2022 12:40:20 PM,17,hours,1/5/2022 9:33:57 PM
2730881,In federal jail permanently,Account marked for deletion,Gyan_Tone,7,57,Novice Scavenger,11/9/2021 2:10:55 PM,1/4/2022 6:31:34 PM,1,day,1/5/2022 9:33:57 PM
2730882,In federal jail permanently,Account marked for deletion,Vlard,6,57,Novice Scavenger,11/9/2021 2:15:53 PM,1/4/2022 7:01:14 PM,1,day,1/5/2022 9:33:57 PM
2731115,In federal jail permanently,Account marked for deletion,_Moe_Z_,6,56,Novice Scavenger,11/10/2021 12:11:58 PM,1/4/2022 7:05:49 PM,1,day,1/5/2022 9:33:57 PM
2735382,In federal jail permanently,Account marked for deletion,Jesus-is-Life,20,38,Below average Nudist,11/28/2021 2:35:10 PM,1/3/2022 6:49:56 AM,2,days,1/5/2022 9:33:57 PM
2740700,In federal jail permanently,Account marked for deletion,HninEaintAmara,5,17,Rookie Scavenger,12/19/2021 5:42:51 PM,1/4/2022 5:09:45 AM,2,days,1/5/2022 9:33:57 PM
2740920,In federal jail permanently,Account marked for deletion,AmyTods,2,16,Beginner Nudist,12/20/2021 3:00:22 PM,1/2/2022 9:12:32 PM,3,days,1/5/2022 9:33:57 PM
2741367,In federal jail permanently,Account marked for deletion,BuiltDifferent,2,14,Beginner Newcomer,12/22/2021 12:25:56 PM,12/22/2021 12:56:15 PM,14,days,1/5/2022 9:33:57 PM
2741371,In federal jail permanently,Account marked for deletion,haterswillsay,2,14,Beginner Nudist,12/22/2021 12:59:49 PM,12/30/2021 6:12:52 AM,7,days,1/5/2022 9:33:57 PM
2741650,In federal jail permanently,Account marked for deletion,Mindset-hemlock,1,13,Absolute beginner Newcomer,12/23/2021 5:35:18 PM,12/23/2021 11:14:20 PM,13,days,1/5/2022 9:33:57 PM
2741707,In federal jail permanently,Account marked for deletion,Mindset_hemlock,6,13,Novice Alcoholic,12/23/2021 11:31:39 PM,1/1/2022 11:06:13 PM,4,days,1/5/2022 9:33:57 PM
2741860,In federal jail permanently,Account marked for deletion,WhySoSad,2,12,Beginner Newcomer,12/24/2021 1:07:15 PM,12/24/2021 1:34:54 PM,12,days,1/5/2022 9:33:57 PM
2742192,In federal jail permanently,Account marked for deletion,scholsey180,15,11,Below average Accomplice,12/25/2021 11:32:56 PM,1/6/2022 2:10:40 AM,4,hours,1/5/2022 9:33:57 PM
2744294,In federal jail permanently,Account marked for deletion,Lilithsix66,3,2,Beginner Newcomer,1/3/2022 8:18:43 AM,1/6/2022 1:10:16 AM,5,hours,1/5/2022 9:33:57 PM
2744346,In federal jail permanently,Account marked for deletion,ShadowKittyy,3,2,Beginner Newcomer,1/3/2022 1:25:36 PM,1/6/2022 12:24:21 AM,6,hours,1/5/2022 9:33:57 PM
2741970,In federal jail permanently,Account marked for deletion,clenching,1,18,Absolute beginner Mercenary,12/25/2021 12:26:47 AM,12/25/2021 5:37:59 PM,17,days,1/11/2022 9:15:54 PM
2742059,In federal jail permanently,Account marked for deletion,Mr-HappyGuy,1,17,Absolute beginner Newcomer,12/25/2021 10:50:22 AM,12/25/2021 12:02:49 PM,17,days,1/11/2022 9:15:54 PM
2742284,In federal jail permanently,Account marked for deletion,Daydreamer69,4,16,Inexperienced Alcoholic,12/26/2021 9:32:55 AM,1/1/2022 11:08:12 PM,10,days,1/11/2022 9:15:54 PM
2742711,In federal jail permanently,Account marked for deletion,rokpa,5,15,Inexperienced Nudist,12/28/2021 12:59:46 AM,1/1/2022 1:10:56 PM,10,days,1/11/2022 9:15:54 PM
2742950,In federal jail permanently,Account marked for deletion,Heisenburg,3,14,Beginner Egotist,12/28/2021 11:51:42 PM,12/29/2021 7:55:20 AM,13,days,1/11/2022 9:15:54 PM
2743332,In federal jail permanently,Account marked for deletion,Mebmet_kemeM,2,12,Inexperienced Nudist,12/30/2021 10:55:55 AM,1/1/2022 5:57:46 AM,10,days,1/11/2022 9:15:54 PM
2743390,In federal jail permanently,Account marked for deletion,ELIZE9,3,12,Beginner Nudist,12/30/2021 5:20:17 PM,1/1/2022 5:06:04 AM,10,days,1/11/2022 9:15:54 PM
2743687,In federal jail permanently,Account marked for deletion,Blazingpig2,1,11,Absolute beginner Medalist,1/1/2022 1:49:05 AM,1/2/2022 1:45:39 AM,10,days,1/11/2022 9:15:54 PM
2743730,In federal jail permanently,Staff see notes,Hail_5atan,2,10,Beginner Nudist,1/1/2022 6:02:56 AM,1/1/2022 10:52:51 AM,10,days,1/11/2022 9:15:54 PM
2743915,In federal jail permanently,Account marked for deletion,MindsetHemlock,3,10,Beginner Newcomer,1/2/2022 12:55:35 AM,1/2/2022 5:39:09 AM,9,days,1/11/2022 9:15:54 PM
2743943,In federal jail permanently,Account marked for deletion,LilithHemlock,2,9,Beginner Newcomer,1/2/2022 2:52:38 AM,1/2/2022 5:28:06 AM,9,days,1/11/2022 9:15:54 PM
2743977,In federal jail permanently,Account marked for deletion,Nolnacs696969,4,9,Beginner Alcoholic,1/2/2022 5:55:37 AM,1/3/2022 5:23:44 PM,8,days,1/11/2022 9:15:54 PM
2744075,In federal jail permanently,Account marked for deletion,DiscoingBandit,5,9,Inexperienced Trader,1/2/2022 5:19:56 PM,1/4/2022 4:12:24 PM,7,days,1/11/2022 9:15:54 PM
2744172,In federal jail permanently,Account marked for deletion,Ilovegaypeople,1,9,Absolute beginner Newcomer,1/2/2022 10:34:45 PM,1/2/2022 10:34:46 PM,9,days,1/11/2022 9:15:54 PM
2744173,In federal jail permanently,Account marked for deletion,IFHF,1,9,Absolute beginner Newcomer,1/2/2022 10:45:13 PM,1/3/2022 1:16:53 AM,9,days,1/11/2022 9:15:54 PM
2744222,In federal jail permanently,Account marked for deletion,Witfgati,1,9,Absolute beginner Newcomer,1/3/2022 1:35:04 AM,1/3/2022 1:35:05 AM,9,days,1/11/2022 9:15:54 PM
2744224,In federal jail permanently,Account marked for deletion,Hydbutchuf,1,9,Absolute beginner Newcomer,1/3/2022 1:39:40 AM,1/3/2022 1:39:41 AM,9,days,1/11/2022 9:15:54 PM
2744237,In federal jail permanently,Account marked for deletion,IFHBP,1,8,Absolute beginner Newcomer,1/3/2022 2:23:11 AM,1/3/2022 3:25:30 AM,8,days,1/11/2022 9:15:54 PM
2744275,In federal jail permanently,Account marked for deletion,Maxming,2,8,Beginner Punchbag,1/3/2022 5:03:32 AM,1/9/2022 6:38:08 AM,2,days,1/11/2022 9:15:54 PM
2744338,In federal jail permanently,Account marked for deletion,SexyKittyy,1,8,Absolute beginner Newcomer,1/3/2022 12:42:26 PM,1/3/2022 12:56:23 PM,8,days,1/11/2022 9:15:54 PM
2744379,In federal jail permanently,Account marked for deletion,miaomiaoV,1,8,Absolute beginner Newcomer,1/3/2022 3:58:21 PM,1/3/2022 4:24:11 PM,8,days,1/11/2022 9:15:54 PM
2744487,In federal jail permanently,Account marked for deletion,SKY_SKY,1,8,Absolute beginner Newcomer,1/4/2022 1:04:59 AM,1/4/2022 1:08:45 AM,8,days,1/11/2022 9:15:54 PM
2744735,In federal jail permanently,Account marked for deletion,GodLord420,1,7,Absolute beginner Newcomer,1/5/2022 12:58:43 AM,1/5/2022 1:20:55 AM,7,days,1/11/2022 9:15:54 PM
2744762,In federal jail permanently,Staff see notes,BeastXray,1,6,Absolute beginner Newcomer,1/5/2022 3:28:46 AM,1/5/2022 9:16:51 AM,6,days,1/11/2022 9:15:54 PM
2744796,In federal jail permanently,Account marked for deletion,CheeseDoritos,3,6,Beginner Newcomer,1/5/2022 7:27:36 AM,1/5/2022 9:59:11 AM,6,days,1/11/2022 9:15:54 PM
2744883,In federal jail permanently,Account marked for deletion,SimplyGreedy,5,6,Beginner Newcomer,1/5/2022 3:41:14 PM,1/6/2022 12:06:06 AM,6,days,1/11/2022 9:15:54 PM
2745025,In federal jail permanently,Account marked for deletion,Varun,6,5,Rookie Newcomer,1/6/2022 2:30:11 AM,1/10/2022 10:19:44 AM,1,day,1/11/2022 9:15:54 PM
2745612,In federal jail permanently,Account marked for deletion,summher,3,3,Beginner Newcomer,1/8/2022 6:56:04 AM,1/9/2022 8:46:45 AM,2,days,1/11/2022 9:15:54 PM
2745786,In federal jail permanently,Account marked for deletion,ButtStabber,4,3,Rookie Newcomer,1/8/2022 9:14:39 PM,1/10/2022 3:29:39 PM,1,day,1/11/2022 9:15:54 PM
2745814,In federal jail permanently,Account marked for deletion,Rocainkid10900,1,3,Absolute beginner Newcomer,1/8/2022 11:05:24 PM,1/8/2022 11:20:04 PM,3,days,1/11/2022 9:15:54 PM
2745828,In federal jail permanently,Account marked for deletion,CxROCAIN,1,3,Absolute beginner Newcomer,1/9/2022 12:06:00 AM,1/9/2022 12:08:12 AM,3,days,1/11/2022 9:15:54 PM
2745829,In federal jail permanently,Account marked for deletion,IgotAgun,2,3,Beginner Newcomer,1/9/2022 12:11:09 AM,1/9/2022 2:01:29 AM,3,days,1/11/2022 9:15:54 PM
2745876,In federal jail permanently,Account marked for deletion,Laytonton,4,2,Inexperienced Newcomer,1/9/2022 3:22:35 AM,1/9/2022 7:41:54 AM,2,days,1/11/2022 9:15:54 PM
2745914,In federal jail permanently,Account marked for deletion,RatMatter,1,2,Absolute beginner Newcomer,1/9/2022 6:29:51 AM,1/9/2022 8:43:36 AM,2,days,1/11/2022 9:15:54 PM
2745973,In federal jail permanently,Account marked for deletion,alfredozo,1,2,Absolute beginner Newcomer,1/9/2022 12:07:46 PM,1/9/2022 1:04:15 PM,2,days,1/11/2022 9:15:54 PM
559009,In federal jail permanently,Account marked for deletion,LeBlanc,30,5225,Veteran Coward,9/27/2007 10:05:32 AM,1/15/2022 6:33:49 AM,1,day,1/16/2022 9:13:04 PM
1275302,In federal jail permanently,Account marked for deletion,Killer888,29,4588,Competent Nudist,6/25/2009 5:35:42 PM,1/13/2022 1:04:06 PM,3,days,1/16/2022 9:13:04 PM
1288873,In federal jail permanently,Account marked for deletion,10101,69,4566,Champion Merchant,7/17/2009 10:40:44 AM,1/12/2022 9:46:29 AM,4,days,1/16/2022 9:13:04 PM
1375282,In federal jail permanently,Account marked for deletion,dawaithu,35,4422,Master Jobsworth,12/9/2009 2:24:18 AM,1/12/2022 11:02:08 AM,4,days,1/16/2022 9:13:04 PM
1387817,In federal jail permanently,Account marked for deletion,el_apoleiro,22,4390,Above average Loser,1/10/2010 12:28:56 AM,1/12/2022 12:58:41 AM,5,days,1/16/2022 9:13:04 PM
1586073,In federal jail permanently,Account marked for deletion,torntharlay,40,3764,Star Jobsworth,9/27/2011 10:27:29 AM,1/12/2022 6:29:19 AM,4,days,1/16/2022 9:13:04 PM
1843109,In federal jail permanently,Account marked for deletion,Levante,12,2829,Reasonable Scavenger,4/19/2014 3:04:29 PM,1/15/2022 2:01:00 AM,2,days,1/16/2022 9:13:04 PM
1843241,In federal jail permanently,Account marked for deletion,GenBo,30,2828,Highly distinguished Jobsworth,4/20/2014 7:22:28 AM,1/12/2022 9:48:40 AM,4,days,1/16/2022 9:13:04 PM
279582,In federal jail temporarily,Account held until further notice,dragon_lore,95,5783,Champion Punchbag,4/13/2006 6:25:41 AM,2/11/2022 12:01:56 PM,15,hours,2/11/2022 8:16:41 PM
1884060,In federal jail permanently,Account marked for deletion,Sara1234,20,2570,Reasonable Nudist,1/29/2015 5:39:09 PM,2/8/2022 1:26:04 AM,4,days,2/11/2022 8:16:41 PM
2264962,In federal jail permanently,Account marked for deletion,Laiscard,22,1062,Above average Outcast,3/17/2019 8:11:37 PM,2/4/2022 11:01:15 PM,7,days,2/11/2022 8:16:41 PM
2512506,In federal jail permanently,Account marked for deletion,TheCat55,17,696,Average Outcast,3/17/2020 8:25:07 AM,2/7/2022 11:09:04 PM,4,days,2/11/2022 8:16:41 PM
2630100,In federal jail permanently,Account marked for deletion,Hippo12,1,429,Absolute beginner Samaritan,12/9/2020 11:16:22 PM,2/7/2022 11:13:16 PM,4,days,2/11/2022 8:16:41 PM
2630103,In federal jail permanently,Account marked for deletion,SirJames4,11,429,Reasonable Outcast,12/9/2020 11:24:37 PM,2/7/2022 11:07:05 PM,4,days,2/11/2022 8:16:41 PM
2672002,In federal jail permanently,Account marked for deletion,Dyratrae67,9,307,Novice Loser,4/10/2021 5:39:47 AM,2/8/2022 12:16:45 AM,4,days,2/11/2022 8:16:41 PM
2682289,In federal jail permanently,Account marked for deletion,BigLeonardOLine,8,264,Novice Tank,5/23/2021 9:08:06 PM,2/8/2022 12:25:12 AM,4,days,2/11/2022 8:16:41 PM
2712538,In federal jail permanently,Account marked for deletion,Goawa,4,154,Inexperienced Trader,9/11/2021 2:12:41 AM,2/11/2022 2:13:39 AM,1,day,2/11/2022 8:16:41 PM
2713595,In federal jail permanently,Account marked for deletion,Osiru,4,152,Beginner Nudist,9/12/2021 10:33:12 PM,2/9/2022 1:44:01 AM,3,days,2/11/2022 8:16:41 PM
2714264,In federal jail permanently,Account marked for deletion,alioth,23,150,Above average Scavenger,9/14/2021 11:37:22 AM,2/8/2022 1:59:27 PM,3,days,2/11/2022 8:16:41 PM
2716375,In federal jail permanently,Account marked for deletion,DarkArrowX,19,145,Reasonable Outcast,9/19/2021 6:16:03 PM,2/9/2022 6:33:18 AM,2,days,2/11/2022 8:16:41 PM
2719805,In federal jail permanently,Account marked for deletion,Alibaba69,10,134,Novice Merchant,9/30/2021 9:52:13 AM,2/8/2022 11:29:24 PM,3,days,2/11/2022 8:16:41 PM
2728046,In federal jail temporarily,Account held until further notice,Gustavo_TH,17,105,Above average Outcast,10/29/2021 7:33:48 PM,2/8/2022 4:35:01 PM,3,days,2/11/2022 8:16:41 PM
2729410,In federal jail permanently,Account marked for deletion,HilihKintil,15,100,Average Samaritan,11/3/2021 11:50:37 AM,2/9/2022 2:28:38 PM,2,days,2/11/2022 8:16:41 PM
2731058,In federal jail permanently,Account marked for deletion,Pechda,5,93,Inexperienced Loser,11/10/2021 5:28:58 AM,2/9/2022 2:01:20 AM,3,days,2/11/2022 8:16:41 PM
2738999,In federal jail permanently,Account marked for deletion,Nevicity,2,60,Beginner Samaritan,12/13/2021 7:13:44 AM,2/9/2022 6:34:52 AM,2,days,2/11/2022 8:16:41 PM
2741859,In federal jail permanently,Account marked for deletion,-DREADED-,20,49,Average Trader,12/24/2021 12:59:31 PM,2/10/2022 2:22:58 PM,1,day,2/11/2022 8:16:41 PM
2747004,In federal jail permanently,Account marked for deletion,ConanEdogawa,1,29,Absolute beginner Mercenary,1/13/2022 5:24:33 AM,1/13/2022 9:02:22 AM,29,days,2/11/2022 8:16:41 PM
2747009,In federal jail permanently,Account marked for deletion,Smartest,1,29,Absolute beginner Nudist,1/13/2022 5:38:29 AM,1/13/2022 8:12:58 AM,29,days,2/11/2022 8:16:41 PM
2747019,In federal jail permanently,Account marked for deletion,Businesswoman,3,29,Beginner Nudist,1/13/2022 6:41:34 AM,1/13/2022 12:26:55 PM,29,days,2/11/2022 8:16:41 PM
2747291,In federal jail permanently,Account marked for deletion,KevinMitnick,3,29,Beginner Nudist,1/14/2022 2:30:49 AM,2/6/2022 5:52:22 AM,5,days,2/11/2022 8:16:41 PM
2747891,In federal jail permanently,Account marked for deletion,_Lexy,1,27,Absolute beginner Samaritan,1/16/2022 1:28:51 AM,2/6/2022 12:11:40 AM,6,days,2/11/2022 8:16:41 PM
2749380,In federal jail permanently,Account marked for deletion,BlackHatHacker,1,22,Absolute beginner Sage,1/21/2022 2:42:27 AM,1/23/2022 10:13:37 AM,19,days,2/11/2022 8:16:41 PM
2749702,In federal jail permanently,Account marked for deletion,Vigneshvk7,6,20,Rookie Samaritan,1/22/2022 7:25:18 AM,2/9/2022 8:33:45 AM,2,days,2/11/2022 8:16:41 PM
2750231,In federal jail permanently,Account marked for deletion,TastyKitten,15,19,Novice Slayer,1/23/2022 10:19:09 PM,2/9/2022 1:05:19 PM,2,days,2/11/2022 8:16:41 PM
2750909,In federal jail permanently,Account marked for deletion,-Maestro-,5,16,Rookie Loser,1/26/2022 4:20:39 PM,2/8/2022 9:19:41 AM,3,days,2/11/2022 8:16:41 PM
2751896,In federal jail permanently,Account marked for deletion,TastyHollow,10,12,Rookie Nudist,1/30/2022 5:01:08 PM,2/9/2022 3:41:19 PM,2,days,2/11/2022 8:16:41 PM
2752813,In federal jail permanently,Account marked for deletion,xMrsJokerx,8,8,Below average Samaritan,2/3/2022 8:38:31 PM,2/10/2022 4:30:56 PM,1,day,2/11/2022 8:16:41 PM
2754076,In federal jail permanently,Account marked for deletion,Galio,4,3,Beginner Newcomer,2/9/2022 3:45:22 AM,2/11/2022 8:50:23 AM,20,hours,2/11/2022 8:16:41 PM
2662027,In federal jail permanently,Account marked for deletion,CDM,9,324,Novice Hoarder,2/27/2021 3:24:39 AM,1/11/2022 4:17:54 AM,6,days,1/16/2022 9:13:04 PM
2671832,In federal jail permanently,Account marked for deletion,MoneyFunny,9,282,Rookie Hoarder,4/9/2021 9:20:08 AM,1/11/2022 4:14:37 AM,6,days,1/16/2022 9:13:04 PM
2682335,In federal jail permanently,Account marked for deletion,nutrikian,15,238,Average Slayer,5/24/2021 2:39:59 AM,1/13/2022 12:55:52 PM,3,days,1/16/2022 9:13:04 PM
2689305,In federal jail permanently,Account marked for deletion,Galaxy2313,12,211,Novice Nudist,6/19/2021 1:52:58 PM,1/13/2022 6:00:33 PM,3,days,1/16/2022 9:13:04 PM
2692971,In federal jail permanently,Account marked for deletion,MrJiro,7,196,Rookie Felon,7/4/2021 12:07:33 PM,1/11/2022 4:16:13 AM,6,days,1/16/2022 9:13:04 PM
2697555,In federal jail permanently,Account marked for deletion,ksity999,10,172,Below average Nudist,7/28/2021 12:14:12 PM,1/14/2022 3:24:00 AM,3,days,1/16/2022 9:13:04 PM
2698289,In federal jail permanently,Account marked for deletion,halden787,5,168,Beginner Trader,8/1/2021 5:35:47 PM,1/1/2022 11:59:43 AM,15,days,1/16/2022 9:13:04 PM
2699457,In federal jail permanently,Account marked for deletion,zeromalks,16,161,Reasonable Accomplice,8/8/2021 1:56:49 PM,1/13/2022 12:56:46 PM,3,days,1/16/2022 9:13:04 PM
2699459,In federal jail permanently,Account marked for deletion,sunarmoks,16,161,Reasonable Hoarder,8/8/2021 2:02:14 PM,1/13/2022 12:56:21 PM,3,days,1/16/2022 9:13:04 PM
2702357,In federal jail permanently,Account marked for deletion,Lolnoobgetrekt,3,149,Beginner Nudist,8/20/2021 4:52:32 PM,1/13/2022 9:03:21 PM,3,days,1/16/2022 9:13:04 PM
2704274,In federal jail permanently,Account marked for deletion,Cytokine_Storm,18,144,Reasonable Alcoholic,8/25/2021 2:03:53 PM,1/13/2022 12:58:48 PM,3,days,1/16/2022 9:13:04 PM
2704971,In federal jail permanently,Account marked for deletion,SomePerson,3,143,Beginner Scavenger,8/26/2021 6:13:06 PM,10/24/2021 6:31:57 PM,84,days,1/16/2022 9:13:04 PM
2704987,In federal jail permanently,Account marked for deletion,PINEWOOD-3811,4,143,Beginner Samaritan,8/26/2021 6:35:36 PM,1/13/2022 9:11:10 PM,3,days,1/16/2022 9:13:04 PM
2706195,In federal jail permanently,Account marked for deletion,Car,18,140,Reasonable Nudist,8/29/2021 1:08:46 PM,1/13/2022 1:00:53 PM,3,days,1/16/2022 9:13:04 PM
2706640,In federal jail permanently,Account marked for deletion,BuuBuu,15,139,Reasonable Slayer,8/30/2021 2:07:48 PM,1/13/2022 12:57:30 PM,3,days,1/16/2022 9:13:04 PM
2706939,In federal jail permanently,Account marked for deletion,Gianpaolo91,15,138,Reasonable Hoarder,8/31/2021 6:09:51 AM,1/13/2022 12:59:19 PM,3,days,1/16/2022 9:13:04 PM
2707428,In federal jail temporarily,Account held until further notice,TheEmperatris,15,137,Competent Socialite,9/1/2021 6:05:23 AM,1/14/2022 4:31:36 AM,3,days,1/16/2022 9:13:04 PM
