Name,UID,Level,Faction,FID,State,Until,Friends,Enemies,Karma,ForumPosts,Details,Description,Date,Observed,Networth,Played,Stats
-Eu4ia-,3652481,19,None,0,Federal,1875916800,5,0,9,194,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,1393496138,562473,88726
-Freeman-,3864916,2,None,0,Federal,1875916800,0,0,0,1,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,2484545,12521,100
-Frosty,3547521,44,None,0,Federal,1875916800,11,47,0,11,Harassment,In federal jail permanently,2026-09-17,1789632024,422483871,2281298,510484
-Fruity-,4221995,3,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,6120428,47890,937
-ftyddijvyi,4122304,3,None,0,Federal,1875916800,1,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,1106331,16806,151
-fury-,3606070,6,None,0,Federal,1875916800,3,1,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,584017,13726,6592
-GAIA-,3451194,15,None,0,Federal,1875916800,3,0,0,36,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,1180025,136909,26642
-Gnar,4207596,3,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,750,791,26
-Gol,3902661,5,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,220872,4007,26
-H-enta-i-,4131006,1,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,3163740495,3780,452
-IH-,3649113,7,None,0,Federal,1875916800,1,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,-4907951,17950,4858
-JayDaYougan,4002350,3,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,343814,5830,56
-joox-,2926202,33,None,0,Federal,1875916800,13,17,0,98,Staff see notes,In federal jail permanently,2026-09-17,1789632024,976703738,1800239,843673
-Julius-,3094008,17,None,0,Federal,1875916800,7,2,1,12,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,-188860329,254299,60639
-Kaito-,4456058,15,None,0,Federal,1790294400,1,1,0,3,Multiple accounts,In federal jail for 8 days,2026-09-17,1789632024,675437,110152,6134
-Kanao-,2753199,18,None,0,Federal,1875916800,2,1,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,25475967,316436,95075
-Kanna-,4511780,4,None,0,Federal,1875916800,1,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,796676,14079,88
-katana-,3410315,25,None,0,Federal,1875916800,2,1,1,4,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,110301159,911454,1749011
-kazu-,3894655,3,None,0,Federal,1875916800,0,0,0,1,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,550,600,26
-KENZO-,4076352,15,None,0,Federal,1875916800,2,0,2,11,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,15781684,299031,21805
-killin-,4046184,1,None,0,Federal,1875916800,0,0,0,0,Staff see notes,In federal jail permanently,2026-09-17,1789632024,750,431,26
-KxT-,3718417,1,None,0,Federal,1875916800,1,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,113424,420,26
-LeighArth-,4295490,5,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,555409234,21770,1003
-Lionel,4396793,3,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,68155,17218,148
-LSP-,4187331,2,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,1018510,11755,240
-Madison,4202566,8,None,0,Federal,1875916800,47,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,45054,15709,1863
-Marco-,3849300,3,None,0,Federal,1875916800,0,0,0,1,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,6628503,9889,109
-Mastermind-,3842412,1,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,750,120,26
-Maxheadroom,3991588,1,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,750,120,26
-MS_AK47-,4190246,16,None,0,Federal,1875916800,2,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,30097483,155949,10300
-Naylor-,4051199,10,None,0,Federal,1875916800,0,0,10,4,Staff see notes,In federal jail permanently,2026-09-17,1789632024,1937610,50451,43317
-New_Generation,1925221,1,None,0,Federal,1875916800,1,5,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,54161,3563,923
-Obi-Wan-Kenobi,3756623,2,None,0,Federal,1875916800,1,0,0,1,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,4268175,6342,331
-oc,4524297,3,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,750,1794,766
-Overburdened-,3938910,21,None,0,Federal,1875916800,0,0,1,1,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,161180612,168316,11826
-p0x-,1979756,4,None,0,Federal,1875916800,1,2,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,29247,756,26
-papi,3848500,4,None,0,Federal,1875916800,1,0,0,9,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,8970231,74227,1574
-PERIL,3867242,5,None,0,Federal,1875916800,2,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,156952914,31062,6910
-Phatchoad-,4314507,3,None,0,Federal,1875916800,0,0,0,2,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,33360779,21902,1610
-QueenOfCups-,3879695,8,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,2083940,19362,9460
-Rangga-,3861828,5,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,3287478,38297,26
-Redreddington,4123364,2,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,750,240,26
-Rob,2569218,100,The Next Level,6731,Fallen,0,32,30,419,182,Resting in Peace,Fallen,2026-09-17,1789632024,5624925456,17524905,5752264031
-Salaz-,3849842,2,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,3180062,6575,1582
-Sica-,3856959,1,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,282,120,4062
-Silca-,3856657,16,None,0,Federal,1875916800,5,1,0,1,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,-739589,306326,11792
-SNX-,4184623,2,None,0,Federal,1875916800,0,0,1,3,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,1354512,14260,1396
-Splinter-,4319059,1,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,0,0,766
-Sunshine-,3350997,15,None,0,Federal,1875916800,0,1,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,56311483,79707,45381
-Tim,327996,64,None,0,Federal,1875916800,28,42,0,19,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,290970824,3807207,147456061
-Toji-,3828482,8,None,0,Federal,1875916800,0,0,0,1,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,47047440,15433,5511
-Trojan-,3870835,2,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,37832,593,26
-TT-,4301322,1,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,110061,3427,233
-TxK-,3710104,6,None,0,Federal,1875916800,3,0,0,0,Multiple accounts,In federal jail permanently,2026-09-17,1789632024,-137387,27146,6929
-Xp-Ledends,1766283,2,None,0,Federal,1875916800,1,1,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,80001,691,26
-Yoriichi-,1289040,80,None,0,Federal,1875916800,16,13,11,79,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,400260603,12144894,1337473572
-YSL,3977326,3,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,527783,8040,117
-Zahir-,3864879,1,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,0,0,766
-_o_-,3948352,2,None,0,Federal,1875916800,1,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,249094,60,26
00003,3611049,22,None,0,Federal,1875916800,1,3,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,27265288,305368,487544
00110101101110,4284787,2,None,0,Federal,1875916800,0,0,0,1,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,728701,12427,294
01ekiel,4178891,3,None,0,Federal,1875916800,1,0,0,0,Automated scripting,In federal jail permanently,2026-09-17,1789632024,2725802,107888,26
02-chan,3849157,2,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,180360,120,26
026,3847096,6,None,0,Federal,1875916800,0,0,0,1,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,5053944,14310,416
02kiel,4178904,1,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,750,0,766
03122008,4067303,2,None,0,Federal,1875916800,1,0,0,1,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,750,3459,1536
03kiel,4178908,1,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,750,0,766
0fficialZ,3828741,4,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,500346,9752,613
0ldr00ft0p,4295016,2,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,6133,1018,119
0LENA,4076310,21,None,0,Federal,1875916800,28,356,0,1,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,1536337,796043,59328
0megabytes,4294309,6,None,0,Federal,1875916800,1,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,2744845,16346,159
0Nicole0,2662423,10,None,0,Federal,1875916800,0,3,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,577640,54180,3741
0wtwo,4096648,4,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,1210284,4527,26
0xp,4046221,1,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,750,0,3504
0xz,3818894,6,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,933217,3201,3182
0_-_0,3485476,5,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,283907,360,26
0_x,4283572,13,None,0,Federal,1875916800,1,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,4110182,69179,8272
101781,3788499,7,None,0,Federal,1875916800,1,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,3138345,30030,397
101resolutions,3910103,1,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,750,60,766
10686545460,4501843,3,None,0,Federal,1875916800,0,0,0,2,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,1016252,36505,813
10yearswarrior,3796037,8,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,16794767,1188,778
1103multi,3953792,1,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,43264,600,26
1200Sporty,4478131,1,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,750,128,26
123123wq,3777744,1,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,750,60,372
123461,3946138,3,None,0,Federal,1875916800,1,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,1823871,840,26
123gooner,3994137,1,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,750,0,766
123movie,4503860,1,None,0,Federal,1875916800,0,0,0,0,Staff see notes,In federal jail permanently,2026-09-17,1789632024,750,121,26
12Digitdan,5510,100,Catalysis,89,Fallen,0,157,37,67,586,Resting in Peace,Fallen,2026-09-17,1789632024,70760666570,16203286,8629555762
12w12wsadq,4467614,2,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,750,2621,250
13412130n,4357854,1,None,0,Federal,1875916800,1,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,750,0,766
1700192,1700192,1,None,0,Federal,1875916800,1,0,0,0,Staff see notes,In federal jail permanently,2026-09-17,1789632024,54907,0,766
177bt,4067203,1,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,0,0,766
1800-Bang_gang,4250062,2,None,0,Federal,1875916800,1,0,0,0,Staff see notes,In federal jail permanently,2026-09-17,1789632024,128414,3864,484
187joe,4468929,1,None,0,Federal,1875916800,1,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,750,60,372
19842,3946356,2,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,750,60,117
1blackier2,4236304,3,None,0,Federal,1875916800,1,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,185374,8694,144
1e-grave,4214740,1,None,0,Federal,1875916800,1,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,750,0,766
1email,4236671,1,None,0,Federal,1875916800,0,0,0,0,Staff see notes,In federal jail permanently,2026-09-17,1789632024,750,4992,923
1fuhd,3743946,1,None,0,Federal,1875916800,0,0,0,1,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,712,542,26
1GramCart,3992406,5,None,0,Federal,1875916800,1,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,1831124,6294,160
1Granny1DOG,4032815,1,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,750,360,26
1Imawh0re,3843915,4,None,0,Federal,1875916800,1,0,12,24,Staff see notes,In federal jail permanently,2026-09-17,1789632024,253169,4391,1406
1JohnWeak,4340115,10,None,0,Federal,1875916800,1,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,564409,23628,2465
1Kong,3898586,5,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,973806,10149,80
1mgay,3741230,3,None,0,Federal,1875916800,1,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,1334203,16949,172
1N54N3,4289859,2,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,885134,7886,216
1ooo1,4386242,1,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,1713,1079,780
1punchman,3885485,7,None,0,Federal,1875916800,1,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,5234613,31272,6697
1S3xiBeach,3984536,15,None,0,Federal,1875916800,2,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,19349560,75846,11573
1StatuS1,4007209,1,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,750,180,26
1stick2stick,4360226,4,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,323028,15727,54
1wk,3808004,1,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,750,0,766
1wkvl,3435006,6,None,0,Federal,1875916800,2,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,1047119,15731,85
2025_Alive,3438036,2,None,0,Federal,1875916800,0,1,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,750,120,26
2156344,2156344,1,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,0,0,0
2161377,2161377,1,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,0,0,0
21e3wwa,4283879,1,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,750,0,0
222259,3371509,1,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,25673,360,0
2240818,2240818,1,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,0,0,0
2272,2272,17,None,0,Fallen,0,3,7,0,27,Resting in Peace,Fallen,2026-09-17,1789632024,13234928,0,11463
2273226,2273226,75,None,0,Federal,1875916800,116,44,41,75,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,-177263895,9208149,0
2316,3853868,8,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,725053,15848,132360
2726280,2726280,8,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,1397635,60068,0
2ATS2,4245502,2,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,9300,180,0
2ezyy,3563724,3,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,91998,7552,0
2Ghost,3659690,10,None,0,Federal,1875916800,2,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,5025477,50066,0
2Grannies1cup,4032824,1,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,750,60,0
2Grannies2cup,4032835,1,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,750,60,0
2ki,3800930,6,None,0,Federal,1875916800,1,0,0,1,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,4961724,58554,0
2kids1sanbox,4031436,2,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,4982811,10833,0
30days,3733678,1,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,750,553,0
313-,4216612,1,None,0,Federal,1875916800,1,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,750,0,0
3134320,3134320,8,None,0,Federal,1875916800,0,0,0,1,Multiple accounts,In federal jail permanently,2026-09-17,1789632024,1909773,8768,2279
31bigbillur31,4266691,9,None,0,Federal,1875916800,0,0,0,3,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,4471187,156510,3068
324dfsdf,4045330,1,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,0,0,766
3261564,3261564,27,None,0,Federal,1875916800,5,9,17,17,Obscenity,In federal jail permanently,2026-09-17,1789632024,1225343058,833113,340705
3284235,3284235,2,None,0,Federal,1875916800,0,1,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,21172554,540,26
333elyssa,4072891,1,None,0,Federal,1875916800,2,0,0,0,Staff see notes,In federal jail permanently,2026-09-17,1789632024,1356376,5600,683
3388370,3388370,4,None,0,Federal,1875916800,3,1,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,14997508,6482,2587
345,3081528,15,None,0,Federal,1875916800,1,1,4,6,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,37345583,141318,55945
3597901,3597901,13,None,0,Federal,1875916800,4,2,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,-113501,39865,1566
3719875,3719875,8,None,0,Federal,1875916800,0,1,0,0,Discrimination,In federal jail permanently,2026-09-17,1789632024,287064,34829,2172
3734389,3734389,8,None,0,Federal,1875916800,2,2,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,12426710,44134,1236
3736060,3736060,5,None,0,Federal,1875916800,1,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,307602,9249,26
3747352,3747352,2,None,0,Federal,1875916800,0,0,1,2,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,3810236,2018,26
3758603,3758603,3,None,0,Federal,1875916800,1,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,16019,7730,26
3773881,3773881,2,None,0,Federal,1875916800,1,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,552013,240,26
3774058,3774058,1,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,750,60,766
3792220,3792220,1,None,0,Federal,1875916800,0,0,0,0,Staff see notes,In federal jail permanently,2026-09-17,1789632024,750,60,766
3797021,3797021,4,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,679581,8868,1508
3804566,3804566,8,None,0,Federal,1875916800,2,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,990305,9540,26
3812028,3812028,1,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,750,0,766
3812054,3812054,7,None,0,Federal,1875916800,1,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,987903,9154,52
3814699,3814699,1,None,0,Federal,1875916800,0,0,0,0,Staff see notes,In federal jail permanently,2026-09-17,1789632024,750,360,26
3818588,3818588,3,None,0,Federal,1875916800,0,0,0,0,Staff see notes,In federal jail permanently,2026-09-17,1789632024,273126,2069,26
3837443,3837443,1,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,750,1018,923
3850488,3850488,1,None,0,Federal,1875916800,0,0,0,0,Staff see notes,In federal jail permanently,2026-09-17,1789632024,981,60,766
3877544,3877544,1,None,0,Federal,1875916800,0,0,0,0,Staff see notes,In federal jail permanently,2026-09-17,1789632024,0,0,766
3879020,3879020,1,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,750,120,26
3881787,3881787,1,None,0,Federal,1875916800,0,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,750,240,26
3886629,3886629,1,None,0,Federal,1875916800,0,0,0,1,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,1196378,12696,1352
3886867,3886867,1,None,0,Federal,1875916800,1,0,0,0,Account marked for deletion,In federal jail permanently,2026-09-17,1789632024,750,60,766
3905095,3905095,1,None,0,Federal,1875916800,0,0,0,0,Staff see notes,In federal jail permanently,2026-09-17,1789632024,750,0,766
3905101,3905101,1,None,0,Federal,1875916800,0,0,0,0,Staff see notes,In federal jail permanently,2026-09-17,1789632024,750,0,766
