"name","level","state","details","desc","position","uid","date","toprint","faction","fid"
"Vortex30",53,"Federal","Account marked for deletion","In federal jail permanently","Member","477548","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=477548]Vortex30 [477548][/url] - In federal jail permanently (Account marked for deletion)","none",0
"Ted_the_Nailer",33,"Federal","Account marked for deletion","In federal jail permanently","Member","599212","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=599212]Ted_the_Nailer [599212][/url] - In federal jail permanently (Account marked for deletion)","none",0
"AnamChara",37,"Federal","Account marked for deletion","In federal jail permanently","Member","1413005","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=1413005]AnamChara [1413005][/url] - In federal jail permanently (Account marked for deletion)","none",0
"Towanda",100,"Federal","Multiple accounts","In federal jail permanently","Monokini","1399062","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=1399062]Towanda [1399062][/url] - In federal jail permanently (Multiple accounts)","none",0
"ralucakiss84",100,"Federal","Real money trading","In federal jail permanently","Muscle","1899687","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=1899687]ralucakiss84 [1899687][/url] - In federal jail permanently (Real money trading)","none",0
"Marcusjohn",3,"Federal","Account marked for deletion","In federal jail permanently","Initiate","3057746","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=3057746]Marcusjohn [3057746][/url] - In federal jail permanently (Account marked for deletion)","none",0
"hafijur",59,"Federal","Account marked for deletion","In federal jail permanently","Member","435802","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=435802]hafijur [435802][/url] - In federal jail permanently (Account marked for deletion)","none",0
"laidback",69,"Federal","Account marked for deletion","In federal jail permanently","Leader","863715","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=863715]laidback [863715][/url] - In federal jail permanently (Account marked for deletion)","none",0
"taponis",60,"Federal","Account marked for deletion","In federal jail permanently","Member","1586995","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=1586995]taponis [1586995][/url] - In federal jail permanently (Account marked for deletion)","none",0
"GUGA_17",56,"Federal","Account marked for deletion","In federal jail permanently","Member","1709901","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=1709901]GUGA_17 [1709901][/url] - In federal jail permanently (Account marked for deletion)","none",0
"renatet",25,"Federal","Account marked for deletion","In federal jail permanently","Member","1764551","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=1764551]renatet [1764551][/url] - In federal jail permanently (Account marked for deletion)","none",0
"augusts",27,"Federal","Account marked for deletion","In federal jail permanently","Member","1862655","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=1862655]augusts [1862655][/url] - In federal jail permanently (Account marked for deletion)","none",0
"the_Original",47,"Federal","Account marked for deletion","In federal jail permanently","Co-leader","1931882","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=1931882]the_Original [1931882][/url] - In federal jail permanently (Account marked for deletion)","none",0
"Mr_stark",75,"Federal","Multiple accounts","In federal jail for 13 days","Smuggler","1960095","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=1960095]Mr_stark [1960095][/url] - In federal jail for 13 days (Multiple accounts)","none",0
"Coffee",62,"Federal","Account marked for deletion","In federal jail permanently","Lifer","387625","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=387625]Coffee [387625][/url] - In federal jail permanently (Account marked for deletion)","none",0
"-tiramisu-",22,"Federal","Account marked for deletion","In federal jail permanently","Lifer","445982","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=445982]-tiramisu- [445982][/url] - In federal jail permanently (Account marked for deletion)","none",0
"fatfish",31,"Federal","Account marked for deletion","In federal jail permanently","Co-leader","458971","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=458971]fatfish [458971][/url] - In federal jail permanently (Account marked for deletion)","none",0
"Patience",26,"Federal","Account marked for deletion","In federal jail permanently","Lifer","974849","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=974849]Patience [974849][/url] - In federal jail permanently (Account marked for deletion)","none",0
"H5N1",25,"Federal","Account marked for deletion","In federal jail permanently","Leader","1235672","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=1235672]H5N1 [1235672][/url] - In federal jail permanently (Account marked for deletion)","none",0
"H_N_Lynn",100,"Federal","Real money trading","In federal jail permanently","Juggernaut","1392348","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=1392348]H_N_Lynn [1392348][/url] - In federal jail permanently (Real money trading)","none",0
"Nurul",41,"Federal","Account marked for deletion","In federal jail permanently","Leader","552582","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=552582]Nurul [552582][/url] - In federal jail permanently (Account marked for deletion)","none",0
"DR0XYZZ",16,"Federal","Multiple accounts","In federal jail for 4 days","Member","3269475","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=3269475]DR0XYZZ [3269475][/url] - In federal jail for 4 days (Multiple accounts)","none",0
"LimeTree",81,"Federal","Account marked for deletion","In federal jail permanently","Wonderous Buttmonkey","1321200","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=1321200]LimeTree [1321200][/url] - In federal jail permanently (Account marked for deletion)","none",0
"selawia",12,"Federal","Account marked for deletion","In federal jail permanently","Leader","2028152","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=2028152]selawia [2028152][/url] - In federal jail permanently (Account marked for deletion)","none",0
"ethoasa",10,"Federal","Account marked for deletion","In federal jail permanently","Member","2029701","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=2029701]ethoasa [2029701][/url] - In federal jail permanently (Account marked for deletion)","none",0
"WizardOfTheHood",99,"Federal","Account marked for deletion","In federal jail permanently","Member","654240","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=654240]WizardOfTheHood [654240][/url] - In federal jail permanently (Account marked for deletion)","none",0
"Cheese",72,"Federal","Account marked for deletion","In federal jail permanently","Member","447269","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=447269]Cheese [447269][/url] - In federal jail permanently (Account marked for deletion)","none",0
"xiao_ming",16,"Federal","Account marked for deletion","In federal jail permanently","Member","3276847","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=3276847]xiao_ming [3276847][/url] - In federal jail permanently (Account marked for deletion)","none",0
"BackWithABang",5,"Federal","Account marked for deletion","In federal jail permanently","Member","2092602","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=2092602]BackWithABang [2092602][/url] - In federal jail permanently (Account marked for deletion)","none",0
"The_LegendII",56,"Federal","Account marked for deletion","In federal jail permanently","Leader","1165669","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=1165669]The_LegendII [1165669][/url] - In federal jail permanently (Account marked for deletion)","none",0
"edius",66,"Federal","Account marked for deletion","In federal jail permanently","Vanar Warrior","1673396","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=1673396]edius [1673396][/url] - In federal jail permanently (Account marked for deletion)","none",0
"zuraddie",56,"Federal","Multiple accounts","In federal jail for 29 days","Gangster","1722918","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=1722918]zuraddie [1722918][/url] - In federal jail for 29 days (Multiple accounts)","none",0
"OLD_No7",15,"Federal","Account marked for deletion","In federal jail permanently","Member","378043","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=378043]OLD_No7 [378043][/url] - In federal jail permanently (Account marked for deletion)","none",0
"FARCANAL",15,"Federal","Account marked for deletion","In federal jail permanently","Member","380424","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=380424]FARCANAL [380424][/url] - In federal jail permanently (Account marked for deletion)","none",0
"kuwfbi",89,"Federal","Account marked for deletion","In federal jail permanently","Leader","995269","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=995269]kuwfbi [995269][/url] - In federal jail permanently (Account marked for deletion)","none",0
"kuw2020",30,"Federal","Account marked for deletion","In federal jail permanently","Co-leader","2431335","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=2431335]kuw2020 [2431335][/url] - In federal jail permanently (Account marked for deletion)","none",0
"M1n_Tun",25,"Federal","Account marked for deletion","In federal jail permanently","Member","2079736","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=2079736]M1n_Tun [2079736][/url] - In federal jail permanently (Account marked for deletion)","none",0
"netsoe",45,"Federal","Account marked for deletion","In federal jail permanently","Member","948239","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=948239]netsoe [948239][/url] - In federal jail permanently (Account marked for deletion)","none",0
"RyanGiggs",59,"Federal","Account marked for deletion","In federal jail permanently","Member","1026613","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=1026613]RyanGiggs [1026613][/url] - In federal jail permanently (Account marked for deletion)","none",0
"Kyoko_Fukada",30,"Federal","Account marked for deletion","In federal jail permanently","Member","1484636","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=1484636]Kyoko_Fukada [1484636][/url] - In federal jail permanently (Account marked for deletion)","none",0
"Guitarcord-C",16,"Federal","Account marked for deletion","In federal jail permanently","Member","1781543","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=1781543]Guitarcord-C [1781543][/url] - In federal jail permanently (Account marked for deletion)","none",0
"-Darksky-",16,"Federal","Account marked for deletion","In federal jail permanently","Member","1783409","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=1783409]-Darksky- [1783409][/url] - In federal jail permanently (Account marked for deletion)","none",0
"NatashaRomanova",16,"Federal","Account marked for deletion","In federal jail permanently","Leader","2069883","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=2069883]NatashaRomanova [2069883][/url] - In federal jail permanently (Account marked for deletion)","none",0
"MonikMoya",16,"Federal","Account marked for deletion","In federal jail permanently","Member","2084915","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=2084915]MonikMoya [2084915][/url] - In federal jail permanently (Account marked for deletion)","none",0
"yurinero",29,"Federal","Account marked for deletion","In federal jail permanently","Member","1287505","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=1287505]yurinero [1287505][/url] - In federal jail permanently (Account marked for deletion)","none",0
"Xzodus",23,"Federal","Account marked for deletion","In federal jail permanently","Member","1427420","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=1427420]Xzodus [1427420][/url] - In federal jail permanently (Account marked for deletion)","none",0
"Snow_Queen",15,"Federal","Account marked for deletion","In federal jail permanently","Member","1798990","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=1798990]Snow_Queen [1798990][/url] - In federal jail permanently (Account marked for deletion)","none",0
"Biobril",16,"Federal","Account marked for deletion","In federal jail permanently","Member","2065936","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=2065936]Biobril [2065936][/url] - In federal jail permanently (Account marked for deletion)","none",0
"Maria_Abril",16,"Federal","Account marked for deletion","In federal jail permanently","Leader","2069736","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=2069736]Maria_Abril [2069736][/url] - In federal jail permanently (Account marked for deletion)","none",0
"Foremost",17,"Federal","Account marked for deletion","In federal jail permanently","Co-leader","2083911","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=2083911]Foremost [2083911][/url] - In federal jail permanently (Account marked for deletion)","none",0
"MandalayBay",17,"Federal","Account marked for deletion","In federal jail permanently","Member","2084912","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=2084912]MandalayBay [2084912][/url] - In federal jail permanently (Account marked for deletion)","none",0
"AnnaRestauro",17,"Federal","Account marked for deletion","In federal jail permanently","Member","2084914","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=2084914]AnnaRestauro [2084914][/url] - In federal jail permanently (Account marked for deletion)","none",0
"blush",38,"Federal","Account marked for deletion","In federal jail permanently","Member","385912","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=385912]blush [385912][/url] - In federal jail permanently (Account marked for deletion)","none",0
"Farkedop",23,"Federal","Account marked for deletion","In federal jail permanently","Member","1630143","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=1630143]Farkedop [1630143][/url] - In federal jail permanently (Account marked for deletion)","none",0
"Munchassassin",20,"Federal","Account marked for deletion","In federal jail permanently","Member","1630147","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=1630147]Munchassassin [1630147][/url] - In federal jail permanently (Account marked for deletion)","none",0
"oggieboo",10,"Federal","Account marked for deletion","In federal jail permanently","Member","1853941","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=1853941]oggieboo [1853941][/url] - In federal jail permanently (Account marked for deletion)","none",0
"MrKingDav",57,"Federal","Account marked for deletion","In federal jail permanently","Leader","1109081","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=1109081]MrKingDav [1109081][/url] - In federal jail permanently (Account marked for deletion)","none",0
"peruwrestler135",59,"Federal","RMT","In federal jail permanently","Leader","791846","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=791846]peruwrestler135 [791846][/url] - In federal jail permanently (RMT)","none",0
"Countess",70,"Federal","Account marked for deletion","In federal jail permanently","Member","310708","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=310708]Countess [310708][/url] - In federal jail permanently (Account marked for deletion)","none",0
"snif",80,"Federal","Account marked for deletion","In federal jail permanently","Member","336743","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=336743]snif [336743][/url] - In federal jail permanently (Account marked for deletion)","none",0
"Against",40,"Federal","Account marked for deletion","In federal jail permanently","Member","343415","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=343415]Against [343415][/url] - In federal jail permanently (Account marked for deletion)","none",0
"oldskull",73,"Federal","Account marked for deletion","In federal jail permanently","Member","344313","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=344313]oldskull [344313][/url] - In federal jail permanently (Account marked for deletion)","none",0
"Sepultura",25,"Federal","Account marked for deletion","In federal jail permanently","Member","347130","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=347130]Sepultura [347130][/url] - In federal jail permanently (Account marked for deletion)","none",0
"sXe",30,"Federal","Account marked for deletion","In federal jail permanently","Member","372907","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=372907]sXe [372907][/url] - In federal jail permanently (Account marked for deletion)","none",0
"JennyT",25,"Federal","Account marked for deletion","In federal jail permanently","Member","373092","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=373092]JennyT [373092][/url] - In federal jail permanently (Account marked for deletion)","none",0
"rewtz",66,"Federal","Account marked for deletion","In federal jail permanently","Leader","382034","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=382034]rewtz [382034][/url] - In federal jail permanently (Account marked for deletion)","none",0
"Zyrull",10,"Federal","Account marked for deletion","In federal jail permanently","Member","2162987","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=2162987]Zyrull [2162987][/url] - In federal jail permanently (Account marked for deletion)","none",0
"ircsak",6,"Federal","Account marked for deletion","In federal jail permanently","Member","2165281","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=2165281]ircsak [2165281][/url] - In federal jail permanently (Account marked for deletion)","none",0
"EMILY224",11,"Federal","Account marked for deletion","In federal jail permanently","Member","2740265","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=2740265]EMILY224 [2740265][/url] - In federal jail permanently (Account marked for deletion)","none",0
"Evilclown",75,"Federal","Account marked for deletion","In federal jail permanently","Leader","344082","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=344082]Evilclown [344082][/url] - In federal jail permanently (Account marked for deletion)","none",0
"Sober2",15,"Federal","Account marked for deletion","In federal jail permanently","Member","347245","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=347245]Sober2 [347245][/url] - In federal jail permanently (Account marked for deletion)","none",0
"Setan",65,"Federal","Account marked for deletion","In federal jail permanently","Member","347462","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=347462]Setan [347462][/url] - In federal jail permanently (Account marked for deletion)","none",0
"Nenia",25,"Federal","Account marked for deletion","In federal jail permanently","Member","348323","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=348323]Nenia [348323][/url] - In federal jail permanently (Account marked for deletion)","none",0
"emocore",49,"Federal","Account marked for deletion","In federal jail permanently","Member","932991","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=932991]emocore [932991][/url] - In federal jail permanently (Account marked for deletion)","none",0
"BioForge",57,"Federal","Staff see notes","In federal jail permanently","Private","864094","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=864094]BioForge [864094][/url] - In federal jail permanently (Staff see notes)","none",0
"slay3r",27,"Federal","RMT","In federal jail permanently","Member","285282","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=285282]slay3r [285282][/url] - In federal jail permanently (RMT)","none",0
"B3L1U3E4S",60,"Federal","Account marked for deletion","In federal jail permanently","Member","289242","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=289242]B3L1U3E4S [289242][/url] - In federal jail permanently (Account marked for deletion)","none",0
"Rain7",62,"Federal","Account Marked For Deletion","In federal jail permanently","Leader","535785","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=535785]Rain7 [535785][/url] - In federal jail permanently (Account Marked For Deletion)","none",0
"BigSlayer",31,"Federal","Account Marked For Deletion","In federal jail permanently","Co-leader","847357","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=847357]BigSlayer [847357][/url] - In federal jail permanently (Account Marked For Deletion)","none",0
"frozenground123",27,"Federal","Account Marked For Deletion","In federal jail permanently","Member","1620452","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=1620452]frozenground123 [1620452][/url] - In federal jail permanently (Account Marked For Deletion)","none",0
"moonsunrain",20,"Federal","Account Marked For Deletion","In federal jail permanently","Member","1877350","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=1877350]moonsunrain [1877350][/url] - In federal jail permanently (Account Marked For Deletion)","none",0
"Awek",73,"Federal","Account marked for deletion","In federal jail permanently","Member","210266","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=210266]Awek [210266][/url] - In federal jail permanently (Account marked for deletion)","none",0
"icyhell",100,"Federal","Real money trading","In federal jail permanently","Par-tea","464913","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=464913]icyhell [464913][/url] - In federal jail permanently (Real money trading)","none",0
"ARy",35,"Federal","Multiple Accounts","In federal jail permanently","Leader","1486219","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=1486219]ARy [1486219][/url] - In federal jail permanently (Multiple Accounts)","none",0
"goodRiddance",92,"Federal","Account marked for deletion","In federal jail permanently","Member","265126","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=265126]goodRiddance [265126][/url] - In federal jail permanently (Account marked for deletion)","none",0
"jujueyes",91,"Federal","Account marked for deletion","In federal jail permanently","Member","265172","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=265172]jujueyes [265172][/url] - In federal jail permanently (Account marked for deletion)","none",0
"Lickey_the_Pony",35,"Federal","Account marked for deletion","In federal jail permanently","Leader","356759","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=356759]Lickey_the_Pony [356759][/url] - In federal jail permanently (Account marked for deletion)","none",0
"mandiy",65,"Federal","Account marked for deletion","In federal jail permanently","Leader","1038882","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=1038882]mandiy [1038882][/url] - In federal jail permanently (Account marked for deletion)","none",0
"ChongKyle",60,"Federal","Account marked for deletion","In federal jail permanently","Member","1517668","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=1517668]ChongKyle [1517668][/url] - In federal jail permanently (Account marked for deletion)","none",0
"qeq",15,"Federal","Account marked for deletion","In federal jail permanently","Skald","3247406","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=3247406]qeq [3247406][/url] - In federal jail permanently (Account marked for deletion)","none",0
"flockswithcocks",14,"Federal","Account marked for deletion","In federal jail permanently","Squire","3110765","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=3110765]flockswithcocks [3110765][/url] - In federal jail permanently (Account marked for deletion)","none",0
"Zosimos",14,"Federal","Account marked for deletion","In federal jail permanently","Squire","3118057","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=3118057]Zosimos [3118057][/url] - In federal jail permanently (Account marked for deletion)","none",0
"Money_Seeker",43,"Federal","Account marked for deletion","In federal jail permanently","Member","1515336","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=1515336]Money_Seeker [1515336][/url] - In federal jail permanently (Account marked for deletion)","none",0
"Dumachalae-",31,"Federal","Account marked for deletion","In federal jail permanently","Member","1705969","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=1705969]Dumachalae- [1705969][/url] - In federal jail permanently (Account marked for deletion)","none",0
"Htwezayar",20,"Federal","Account marked for deletion","In federal jail permanently","Member","1727740","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=1727740]Htwezayar [1727740][/url] - In federal jail permanently (Account marked for deletion)","none",0
"Kelvin_K",17,"Federal","Account marked for deletion","In federal jail permanently","Member","1743307","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=1743307]Kelvin_K [1743307][/url] - In federal jail permanently (Account marked for deletion)","none",0
"gnewgaming",19,"Federal","Account marked for deletion","In federal jail permanently","Member","1864353","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=1864353]gnewgaming [1864353][/url] - In federal jail permanently (Account marked for deletion)","none",0
"Baxkille",16,"Federal","Account marked for deletion","In federal jail permanently","Member","1867804","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=1867804]Baxkille [1867804][/url] - In federal jail permanently (Account marked for deletion)","none",0
"Selene-",27,"Federal","Account marked for deletion","In federal jail permanently","Member","2004593","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=2004593]Selene- [2004593][/url] - In federal jail permanently (Account marked for deletion)","none",0
"BIackdiamond",23,"Federal","Account marked for deletion","In federal jail permanently","Member","2031992","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=2031992]BIackdiamond [2031992][/url] - In federal jail permanently (Account marked for deletion)","none",0
"affec1",21,"Federal","Account marked for deletion","In federal jail permanently","Member","2044043","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=2044043]affec1 [2044043][/url] - In federal jail permanently (Account marked for deletion)","none",0
"Maung_Maung",16,"Federal","Account marked for deletion","In federal jail permanently","Member","2086592","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=2086592]Maung_Maung [2086592][/url] - In federal jail permanently (Account marked for deletion)","none",0
"phoetote070",15,"Federal","Account marked for deletion","In federal jail permanently","Member","2104502","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=2104502]phoetote070 [2104502][/url] - In federal jail permanently (Account marked for deletion)","none",0
"shwedudu",15,"Federal","Account marked for deletion","In federal jail permanently","Member","2104601","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=2104601]shwedudu [2104601][/url] - In federal jail permanently (Account marked for deletion)","none",0
"loveyoutoo",15,"Federal","Account marked for deletion","In federal jail permanently","Member","2106122","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=2106122]loveyoutoo [2106122][/url] - In federal jail permanently (Account marked for deletion)","none",0
"thenotebook",17,"Federal","Account marked for deletion","In federal jail permanently","Member","2106127","2024-05-10 12:02","[url=https://www.torn.com/profiles.php?XID=2106127]thenotebook [2106127][/url] - In federal jail permanently (Account marked for deletion)","none",0
