name,sector,size,density,slots,daily_respect,coordinate_x,coordinate_y,alliance,faction,fname,members,rank
AQC,1,3,2,19,113,3421,2490.67,NS,0,,,
AQD,3,3,2,17,90,3338,1289.43,NA,10820,Lithium,82,Diamond
AQE,6,3,2,15,56,2011.64,265.11,NA,49090,Valhalla - Laekna,21,Bronze
AQF,7,4,1,25,26,36,1108.42,NA,0,,,
AQG,7,3,2,14,45,231.45,3165.74,NA,20501,Unity,88,Bronze
ARB,6,3,2,19,56,701,3130.86,NA,10741,SMTH - Trisolary,99,Bronze
ARC,2,3,1,21,51,4043.61,2727.21,NA,0,,,
ARD,2,3,2,22,101,2793.33,1330.67,NA,0,,,
ARE,4,3,2,22,79,4657.33,1506.33,NA,5431,[Redacted],59,Platinum
ARF,7,3,1,20,23,2835.76,109.64,NA,7652,Alley Cats,48,Platinum
ASB,5,3,2,19,68,1141.17,2095.08,NA,0,,,
ASC,1,3,2,13,113,3093.33,2976.22,NA,27223,Stompers,97,Diamond
ASD,5,1,1,6,23,1167.33,1336,Westworld,0,,,
ASE,6,2,2,10,47,5238.92,424.42,NA,0,,,
ASF,7,3,1,23,23,3158.66,255.71,Westworld,7990,Nomads,97,Gold
ASG,4,4,3,29,138,3447.83,1054.04,NA,0,,,
ATB,7,3,2,18,45,219.22,524.62,NA,0,,,
ATC,1,3,3,23,169,3500.07,3191.05,NA,0,,,
ATD,6,3,2,16,56,5560.67,1393.33,NA,41768,Aces Elite,92,Platinum
ATE,4,2,1,8,33,4921.67,1234.67,NA,0,,,
ATF,7,5,1,29,30,4513.96,181.41,NA,0,,,
ATG,5,3,2,16,68,5425.33,2948.67,NA,23952,Midnight Plague,74,Platinum
AUB,7,4,1,26,26,47.54,626.67,NA,13789,Aperture Science,100,Bronze
AUC,1,3,3,19,169,3098,3055.33,NA,0,,,
AUD,2,3,2,16,101,3344.97,1432.67,Crypto,0,,,
AUE,4,4,2,26,92,1224.92,1113.65,Westworld,23188,Reign of Confusion,95,Unranked
AUF,6,1,1,5,19,2205.33,338.42,NA,0,,,
AUG,3,3,2,24,90,4366.8,2462.97,NA,10566,The Rifle Company,56,Platinum
AVB,7,3,2,16,45,52,325.56,NA,18597,The Collective Resistance,94,Bronze
AVC,7,4,1,24,26,2452.62,70.66,NA,28349,Dexter&#039;s Laboratory,92,Diamond
AVD,5,2,2,10,56,1072,1454.67,Westworld,0,,,
AVE,1,3,2,20,113,3199.38,1664.71,NS,11581,Natural Selection III,94,Diamond
AVF,7,4,1,24,26,5467.86,127.07,NA,2736,Itsi Bitsi Bikini,94,Platinum
AVG,4,4,2,29,92,4857.81,2615.33,NA,0,,,
AWB,7,1,1,6,15,51.21,1070.42,NA,0,,,
AWC,7,2,2,10,38,2207.33,215.33,NA,38668,Valhalla - Barna,94,Bronze
AWD,3,4,2,27,105,1728.66,1547.33,NA,22492,Dystopia,82,Platinum
AWE,3,2,2,6,75,1978.33,2082.5,NA,0,,,
AWF,4,4,1,28,46,3114.59,1057.79,Crypto,11162,InQuest,25,Platinum
AWG,6,3,2,22,56,5539.67,2719.33,NA,0,,,
AXB,5,3,2,14,68,1024.33,2933,NA,0,,,
AXC,6,3,2,23,56,3215.66,360.67,NA,0,,,
AXD,3,3,2,13,90,4311.66,1536.67,NA,7049,39th Street Healers,96,Platinum
AXE,3,3,2,14,90,1638.75,2127.08,NA,0,,,
AXF,4,3,1,17,39,1286.28,899.39,NA,0,,,
AXG,5,4,3,24,118,5201.67,2529.67,NA,8317,Naughty Souls,80,Diamond
AYB,5,3,2,16,68,1108.67,2567.33,NA,27370,Desert Eagle,68,Platinum
AYC,6,2,2,9,47,3838.62,422.3,NA,0,,,
AYD,2,2,1,7,42,3871.67,1568.33,NA,0,,,
AYE,4,5,2,29,105,1563.42,1830.66,NA,8384,Savage Plague,67,Platinum
AYF,5,3,2,24,68,2806.31,603.25,NA,0,,,
AYG,4,5,3,29,158,5005.16,2829.65,Crypto,8715,Midnight X,81,Gold
AZB,4,3,1,20,39,1468.83,2769.67,NA,10818,Lex Wolverines,88,Platinum
AZC,6,3,2,19,56,4074.33,520.86,NA,9100,The Black Hand,74,Platinum
AZD,7,3,2,16,45,6005.67,1628.34,NA,0,,,
AZE,1,3,2,13,113,3745.06,1651.42,NA,9533,Natural Selection,100,Diamond
AZF,7,3,1,21,23,6094,239.48,NA,13343,The Defiant,33,Platinum
AZG,7,5,2,30,60,6198.29,2869.33,NA,0,,,
BAA,6,3,1,11,28,502.67,297.33,NA,14386,Blue Rock Cartel (BRC),62,Gold
BAB,4,2,2,7,66,1319.92,2464.27,NA,0,,,
BAC,5,2,2,11,56,2333.07,597.33,NA,26312,JFK - Misfits,89,Gold
BAD,1,3,2,15,113,2434.67,1643,NS,8085,Nuclear Blast,90,Platinum
BAE,3,4,3,27,158,4601.97,1433.41,Crypto,0,,,
BAF,7,4,1,28,26,6149.11,263.3,NA,9503,TSFTS Microbrewery,37,Platinum
BAG,4,4,1,29,46,4752.41,3061.75,NA,0,,,
BBA,5,3,2,14,68,1444.67,692,NA,8062,Ruthless Reborn,82,Platinum
BBB,7,3,1,15,23,317.17,1419.66,JFK,0,,,
BBC,5,3,2,17,68,2370,689.67,NA,0,,,
BBD,6,5,2,29,75,5509.78,1815.67,Crypto,37498,The Railroad,84,Silver
BBE,4,3,2,20,79,4856.44,1778.83,Crypto,0,,,
BBF,7,3,1,21,23,101.33,1189.58,NA,0,,,
BBG,3,5,3,30,180,4482.67,2846.13,Crypto,6974,Onion Smugglers,98,Platinum
BCA,4,3,2,15,79,1692,842.33,NA,0,,,
BCB,7,3,1,14,23,267.11,1638.22,Westworld,41363,WIT-Revolution,54,Silver
BCC,5,2,2,11,56,5302,741,NA,0,,,
BCD,1,3,2,17,113,3775.67,1752,NA,0,,,
BCE,4,3,2,24,79,1538.06,1472.45,NA,22492,Dystopia,82,Platinum
BCF,4,2,2,7,66,1259.57,2102.71,NA,0,,,
BCG,4,4,2,26,92,1594.33,845.34,Westworld,32395,-Aurora-,94,Gold
BDA,7,4,2,28,53,223.67,1177.31,JFK,0,,,
BDB,6,3,1,11,28,492.5,1653.08,NA,48912,BLOODLINE,99,Bronze
BDC,4,3,2,21,79,3926.69,811.33,NA,25001,The Red Knights,96,Platinum
BDD,4,3,2,16,79,1338.33,1782,NA,0,,,
BDE,6,3,2,19,56,5648.89,1428.47,NA,11539,The Sick Bay,99,Unranked
BDF,2,1,2,5,68,3881.89,2195.67,NA,46666,Fluffy Kittens Inc.,42,Platinum
BDG,4,3,2,24,79,1230.79,986.83,NA,0,,,
BEA,5,3,2,12,68,1097.33,2095.33,NA,8468,Bloodbath and Beyond,93,Diamond
BEB,4,3,2,15,79,1439.58,2377.25,NA,0,,,
BEC,4,2,2,6,66,4920.33,810.67,NA,15929,The Inquisition,81,Platinum
BED,5,4,2,24,79,5120.92,1856.89,NA,22295,Aquarius,92,Diamond
BEE,6,3,2,16,56,773.42,1727.31,JFK,0,,,
BEF,1,4,2,28,131,2935,1624.23,NS,366,Evolution,98,Diamond
BFA,6,3,2,15,56,756.33,2282,NA,0,,,
BFB,4,3,2,18,79,1219.17,2141.61,NA,12249,Aurora Surrealis,100,Platinum
BFC,4,5,2,30,105,3491.57,928.65,NA,0,,,
BFD,2,3,2,23,101,3893.33,1922,NA,11747,Natural Selection II,98,Diamond
BFE,1,3,2,22,113,2430.64,2137.25,NA,0,,,
BFF,1,4,1,29,66,3162.21,1841.87,NS,0,,,
BFG,7,3,1,23,23,3885.8,205.57,NA,0,,,
BGA,4,2,2,10,66,1384.33,2524.33,NA,0,,,
BGB,3,2,2,9,75,1756.58,2717.58,NA,36891,FLATLINE,88,Platinum
BGC,4,3,2,17,79,4119,933.33,NA,0,,,
BGD,1,3,2,12,113,3747.33,1947.67,NA,0,,,
BGE,3,5,2,30,120,1963,1221.75,NA,31764,39th Street Warriors,99,Platinum
BGF,7,3,2,21,45,342.71,951.64,Westworld,0,,,
BGG,7,4,1,28,26,3292.07,261.81,Westworld,7990,Nomads,97,Gold
BHA,4,3,2,13,79,1567.67,2722.91,NA,0,,,
BHB,3,4,2,25,105,1998.82,2584.16,NA,0,,,
BHC,4,3,2,21,79,1973.67,962.37,NA,31764,39th Street Warriors,99,Platinum
BHD,5,3,2,14,68,5285.68,1999.67,Crypto,0,,,
BHE,4,4,2,26,92,1534.3,2257.97,NA,0,,,
BHF,7,4,1,26,26,297,1040.33,Westworld,10542,The Fellowship of LOL,75,Unranked
BIA,7,3,2,13,45,354,2961.33,Westworld,15286,Luscious Nightmares,81,Gold
BIB,3,4,2,28,105,1902.96,2359.75,Westworld,0,,,
BIC,4,4,2,28,92,4610.33,1030.67,NA,9118,Maiden Voyage,99,Unranked
BID,5,4,3,28,118,5086,2129.33,Crypto,9305,Legitimate Business,93,Platinum
BIE,3,1,2,5,60,1764.98,1996.75,NA,0,,,
BIF,5,4,2,28,79,888.66,960.41,NA,8500,Extinction,100,Platinum
BJA,7,3,2,14,45,176.42,2849.29,NA,30584,Disorderly Conduct,28,Platinum
BJB,5,2,2,7,56,2015.18,785.77,NA,8076,Order Through Chaos,93,Diamond
BJC,5,4,2,27,79,5077.33,1073.33,NA,0,,,
BJD,3,3,2,14,90,4258.33,2159.33,Crypto,230,PT-Family,91,Diamond
BJE,3,4,2,26,105,1989,2178.23,Westworld,8336,Monarch HQ,98,Diamond
BJF,3,3,1,20,45,3768.08,1110.54,Crypto,0,,,
BKA,7,3,1,17,23,21.23,2324.08,NA,0,,,
BKB,6,2,2,9,47,586.42,2591.79,NA,44445,Combat Ready HQ,40,Gold
BKC,7,4,1,29,26,6014.41,1142.68,NA,0,,,
BKD,2,4,2,26,118,4108.46,2284.56,Crypto,0,,,
BKE,3,2,2,9,75,4424.08,1561.38,NA,6731,The Next Level,95,Diamond
BKF,7,3,2,14,45,113.33,2293.09,NA,0,,,
BLA,7,3,1,22,23,110.11,2523.98,NA,0,,,
BLB,6,2,2,8,47,698,3062.67,NA,0,,,
BLC,6,1,2,5,38,5629.33,1108.67,NA,36274,Violent Resolution II,99,Platinum
BLD,3,4,2,24,105,4644.33,2363.67,NA,0,,,
BLE,5,3,2,21,68,3145.25,615.02,NA,0,,,
BLF,6,2,3,11,70,739.88,2655.18,Westworld,17133,Torn Medical,95,Silver
BMA,7,3,1,17,23,166.33,1843,NA,8677,Mana,35,Platinum
BMB,6,3,1,17,28,487.78,3168.45,NA,0,,,
BMC,3,4,2,28,105,2728.67,1213.99,NS,1149,WTF,95,Diamond
BMD,1,3,2,22,113,3837.67,2463.33,Crypto,8706,Carbon,97,Diamond
BME,2,3,2,21,101,3426.5,1374.42,Crypto,0,,,
BMF,4,3,3,20,118,1239.07,2543.21,NA,27370,Desert Eagle,68,Platinum
BNB,7,2,1,10,19,40.83,2099.33,NA,11131,Infernum-,64,Gold
BNC,4,3,1,17,39,1220,3043.88,NA,0,,,
BND,5,4,1,27,39,1188.68,1214.01,Crypto,0,,,
BNE,6,3,2,15,56,4481,372.41,NA,21716,The Covenant,93,Platinum
BNF,7,4,1,27,26,4944.75,19.33,NA,11376,Also Impulse,90,Gold
BNG,3,3,2,18,90,1629.56,3073.01,Westworld,0,,,
BOB,6,2,2,8,47,474.08,2965.86,Westworld,0,,,
BOC,5,3,2,17,68,1166.04,3203.34,NA,15446,Druggies in Snuggies,100,Diamond
BOD,3,3,2,17,90,3430.34,1226.33,Crypto,0,,,
BOE,5,3,2,21,68,5454.9,1706.93,Crypto,0,,,
BOF,5,3,2,23,68,3973.48,625.92,NA,9100,The Black Hand,74,Platinum
BPB,6,3,2,22,56,487.28,2597.91,NA,0,,,
BPC,4,3,2,19,79,1409.27,2902.79,NA,16335,SMTH - November Chopin,97,Diamond
BPD,7,3,1,19,23,6062.4,1350.52,NA,46708,The Revenant,95,Gold
BPE,5,4,2,27,79,2005.67,596.93,NA,0,,,
BPF,1,3,2,18,113,3315.08,2408.15,NA,0,,,
BPG,4,3,2,12,79,1366,2720.33,NA,10818,Lex Wolverines,88,Platinum
BQB,6,3,2,16,56,589.25,2887.5,NA,37426,Monarch Embassy,35,Platinum
BQC,1,3,2,12,113,3787.34,2509.33,Crypto,0,,,
BQD,3,3,2,20,90,3586,1303,NA,13502,Dead or Alive,94,Platinum
BQF,7,3,1,20,23,2448.33,18.59,NA,0,,,
BQG,6,1,2,5,38,489.94,3169,NA,0,,,
BRB,6,3,2,15,56,648.17,3081.25,NA,36134,SMTH - Silver Hand,93,Platinum
BRC,1,3,2,23,113,3760.22,2472.5,Crypto,8706,Carbon,97,Diamond
BRD,3,3,2,21,90,1651.33,1335.33,NA,0,,,
BRE,7,3,2,13,45,2051.33,123.66,NA,8400,Lingering Insanity,65,Diamond
BRF,7,3,1,18,23,2954.92,119,Westworld,7652,Alley Cats,48,Platinum
BRG,1,3,3,19,169,2879.18,2993.67,NA,0,,,
BSB,5,2,2,9,56,1151.33,2054.58,NA,0,,,
BSC,1,3,2,15,113,3139.33,3107.33,NA,27223,Stompers,97,Diamond
BSD,4,4,2,26,92,4895.03,1362,NA,0,,,
BSE,6,3,2,17,56,5193.25,479,NA,0,,,
BSF,6,3,1,21,28,3266.45,319.36,Westworld,17587,Nomads 2.0,42,Gold
BTB,7,3,2,15,45,219.33,487.67,NA,0,,,
BTC,1,4,3,28,197,3470.75,3202.33,NA,0,,,
BTD,2,4,2,26,118,3591,1413,Crypto,13502,Dead or Alive,94,Platinum
BTE,4,3,2,14,79,4884.78,1192.89,NA,0,,,
BTF,7,5,1,30,30,4604.29,177.52,NA,0,,,
BTG,4,4,2,26,92,4911,2982,NA,8836,Vinerri,99,Diamond
BUB,7,4,2,28,53,61.85,541.45,NA,13789,Aperture Science,100,Bronze
BUC,1,2,2,6,94,2949.78,2947.08,NA,0,,,
BUD,4,3,2,22,79,1358.67,1448,Westworld,0,,,
BUE,4,4,2,25,92,1274.63,1116.58,Westworld,36457,Warband of the Fallen,48,Gold
BUF,6,1,1,5,19,2195,334.92,NA,0,,,
BUG,3,3,2,22,90,4327.55,2519.47,NA,10566,The Rifle Company,56,Platinum
BVB,7,3,1,23,23,47.22,179.22,NA,7227,The Collective JTF,94,Platinum
BVC,7,4,1,24,26,2425.09,117.01,NA,28349,Dexter&#039;s Laboratory,92,Diamond
BVD,2,2,2,8,84,3140,1446,NA,0,,,
BVE,1,3,2,21,113,3115.45,1665.16,NA,366,Evolution,98,Diamond
BVF,7,5,1,30,30,5365.89,47.56,NA,22887,Resilience,99,Platinum
BVG,5,3,2,18,68,5358,2581.33,NA,0,,,
BWB,7,2,1,9,19,69.83,1097.25,NA,0,,,
BWC,6,3,1,23,28,2594.33,272.88,NA,9953,The Drunk Tank,64,Platinum
BWD,2,3,2,13,101,3843.67,1520,Crypto,10960,Wolverines Health Org,72,Unranked
BWE,2,3,2,13,101,2021.31,2014.44,NA,0,,,
BWF,3,4,1,29,53,3241.69,1079.69,Crypto,14052,NPO - Serenity,54,Bronze
BWG,5,2,1,10,28,5160.33,2728.33,NA,0,,,
BXB,5,2,2,6,56,1011.75,2933.84,NA,0,,,
BXC,6,2,2,7,47,4455.13,349.22,NA,0,,,
BXD,3,4,2,27,105,1765,1578.67,NA,22492,Dystopia,82,Platinum
BXE,3,3,2,19,90,1645.5,2113.79,Westworld,0,,,
BXF,5,4,1,25,39,1177.33,861.97,NA,0,,,
BXG,5,5,3,30,135,5244.03,2380.61,Crypto,937,Sport Club,101,Platinum
BYB,5,3,2,20,68,1099.92,2508.57,NA,27370,Desert Eagle,68,Platinum
BYC,6,2,2,6,47,4101.67,413.19,NA,0,,,
BYD,6,3,2,16,56,5584.33,1584,NA,0,,,
BYE,3,3,2,17,90,1656,1809.16,NA,8384,Savage Plague,67,Platinum
BYF,6,4,1,29,33,5354.7,351.61,NA,0,,,
BYG,6,5,2,30,75,5612.67,2490.3,NA,23952,Midnight Plague,74,Platinum
BZB,4,1,2,5,53,1347.33,2794.08,NA,0,,,
BZC,6,3,2,11,56,4112.67,528.67,NA,9100,The Black Hand,74,Platinum
BZD,5,3,2,22,68,5147.31,1646.65,Crypto,0,,,
BZE,2,4,2,26,118,3812.25,1567.41,NA,231,Destructive Anomaly,92,Diamond
BZF,7,3,1,23,23,6079.83,83.89,NA,13343,The Defiant,33,Platinum
BZG,7,5,2,29,60,6129.33,2938.2,NA,0,,,
CAA,6,4,2,24,66,592.37,367.33,NA,39788,Cerberus,82,Platinum
CAB,4,2,2,11,66,1411.48,2474.38,NA,0,,,
CAC,5,5,2,30,90,4231.67,754.33,NA,9118,Maiden Voyage,99,Unranked
CAD,5,4,2,28,79,5152.67,1823.48,Crypto,22295,Aquarius,92,Diamond
CAE,4,4,2,24,92,4772.46,1466.16,Crypto,0,,,
CAF,6,3,1,14,28,545.33,1297.83,JFK,42435,Nub Army,54,Platinum
CAG,4,4,1,28,46,4668.74,3021.12,NA,0,,,
CBA,5,3,2,12,68,1480.67,700.33,NA,8062,Ruthless Reborn,82,Platinum
CBB,6,4,1,27,33,497.83,1324,NA,0,,,
CBC,5,3,2,19,68,2470.51,748.22,Westworld,0,,,
CBD,5,4,2,28,79,5419.6,1742,Crypto,89,Catalysis,96,Diamond
CBE,4,3,2,18,79,4875.88,1753.27,Crypto,0,,,
CBF,5,2,1,9,28,5172,2139,NA,0,,,
CBG,3,4,3,29,158,4348.65,2770.03,NA,8151,Chromatic,96,Diamond
CCA,4,3,2,22,79,1450.33,858.67,NA,0,,,
CCB,7,4,1,26,26,159.89,1630.55,NA,41363,WIT-Revolution,54,Silver
CCC,5,3,2,13,68,2916.67,700.71,NA,0,,,
CCD,5,3,2,20,68,1080.5,1762,NA,0,,,
CCE,4,3,2,22,79,1588.67,1392.08,NA,12863,WTF Healers,95,Gold
CCF,4,2,1,10,33,1215.76,2024.39,NA,0,,,
CCG,4,3,2,24,79,1651.67,842.33,Westworld,21665,Monarch Army of Light,97,Diamond
CDA,7,2,2,10,38,396.72,1177.35,Westworld,0,,,
CDB,6,3,1,15,28,453.92,1652.83,JFK,0,,,
CDC,4,3,2,16,79,4102.33,822,NA,25001,The Red Knights,96,Platinum
CDD,3,4,2,25,105,1806.67,1814.67,NA,0,,,
CDE,6,3,2,20,56,5686.62,1464.83,NA,11539,The Sick Bay,99,Unranked
CDF,1,3,2,20,113,3791.97,2226.14,NA,46666,Fluffy Kittens Inc.,42,Platinum
CDG,5,3,2,17,68,965.56,1097.11,NA,0,,,
CEA,5,2,2,9,56,819.67,2093.36,NA,49147,Gladiators,21,Gold
CEB,4,3,2,21,79,1437.42,2297.58,NA,0,,,
CEC,4,1,2,5,53,4900,820,NA,0,,,
CED,2,2,2,11,84,2087.33,1833.67,NA,8867,Monarch Chrysalis,93,Diamond
CEE,5,3,2,23,68,815.42,1812.26,Westworld,0,,,
CEF,1,2,1,9,47,2981.57,1710.45,NA,366,Evolution,98,Diamond
CFA,6,3,2,15,56,798.67,2282,NA,13851,Nuclear Therapy,98,Platinum
CFB,4,2,2,8,66,1216.75,2119.68,NA,12249,Aurora Surrealis,100,Platinum
CFC,4,3,2,18,79,3865.33,890.33,Crypto,0,,,
CFD,3,3,2,15,90,4604.26,1921.33,Crypto,41853,Blood Money,81,Gold
CFE,1,4,2,28,131,2451.12,2088.55,NA,0,,,
CFG,7,3,1,22,23,3772.49,116.62,NA,0,,,
CGA,4,2,1,7,33,1314.33,2532.33,NA,0,,,
CGB,3,3,2,12,90,1782.38,2730.75,NA,36891,FLATLINE,88,Platinum
CGC,6,3,2,17,56,5575.67,921.66,NA,0,,,
CGD,1,3,2,13,113,3346.67,1941.34,NA,0,,,
CGE,3,3,2,22,90,2067.75,1174.13,NA,19,39th Street Killers,91,Diamond
CGF,6,4,2,28,66,520.55,973.71,Westworld,0,,,
CGG,7,4,1,29,26,3275.24,161.56,NA,525,Ministry of Mayhem,90,Platinum
CHA,3,3,2,17,90,1721.13,2739.57,NA,0,,,
CHB,3,3,2,17,90,1973.33,2561.67,NA,0,,,
CHC,5,3,2,20,68,5344.33,975.34,NA,13665,PT-Penguins,86,Diamond
CHD,3,3,2,16,90,4434.67,2012,Crypto,0,,,
