"faction","stat","name","level","total","side","activity","id","update","fid"
"-Aurora-","334.29m","Aletheia",76,334286586,"Other",0.923,2382475,1718442382.106,32395
"-Aurora-","171.78m","TheSiren",77,171777298,"Other",1.128,2449331,1716973652.66914,32395
"-Aurora-","1.39m","OPium46",42,1389762,"Other",0.423,2463561,1716714382.81286,32395
"-Aurora-","1.44b","Akachi27",75,1439452278,"Other",0.154,2475188,1718442382.106,32395
"-Aurora-","616.31m","TotallyToxic",50,616306177,"Other",0.416,2510608,1718442382.106,32395
"-Aurora-","7.11m","SunGoK",50,7112118,"Other",0.228,2513406,1716541677.85069,32395
"-Aurora-","896.18m","Raptureoz",84,896183515,"Other",0.954,2521263,1716930438.83649,32395
"-Aurora-","12.23m","a_s123",41,12230133,"Other",0.201,2521535,1717103221.09932,32395
"-Aurora-","233.13k","e_lic07",26,233130,"Other",0.104,2521553,1717189663.69098,32395
"-Aurora-","1.18b","GroGroot",85,1178846203,"Other",0.145,2553280,1716757600.69671,32395
"-Aurora-","317.19k","thefemale33",26,317192,"Other",0.03,2557543,1718096791.77983,32395
"-Aurora-","2.64b","Tilia",60,2635062760,"Other",0.766,2562433,1717751225.31149,32395
"-Aurora-","1.33b","TMRow",90,1330380111,"Other",1.047,2588126,1717362412.99191,32395
"-Aurora-","17.1m","Jizznizim",49,17095560,"Other",0.329,2599031,1717103221.09932,32395
"-Aurora-","1.35b","ISOL",89,1352485800,"Other",0.401,2639309,1718442382.106,32395
"-Aurora-","221.48m","Gurnazl",83,221484021,"Other",0.865,2641288,1717103221.09932,32395
"-Aurora-","1.02b","MachineGunMike",82,1023597294,"Other",1.089,2648039,1716973652.66914,32395
"-Aurora-","37.64m","At0mix",45,37641197,"Other",0.108,2649696,1718528780.64238,32395
"-Aurora-","2.22b","Sharp",99,2219142012,"Other",0.561,2651869,1718615186.31814,32395
"-Aurora-","257.86m","a_star_oth",25,257858354,"Other",0.361,2652151,1717621592.49914,32395
"-Aurora-","833.05m","Microberts",84,833051168,"Other",0.649,2653567,1718442382.106,32395
"-Aurora-","1.41b","SquatCobbla",96,1411399873,"Other",1.175,2654399,1716714382.81286,32395
"-Aurora-","645.55m","Smaddz",50,645545188,"Other",1.271,2654437,1717275987.51412,32395
"-Aurora-","310.55m","WhiteSpid3r",46,310548370,"Other",0.344,2656678,1716973652.66914,32395
"-Aurora-","151.87m","ddejd",79,151867099,"Other",0.876,2669783,1717621592.49914,32395
"-Aurora-","89.85m","Holysnoop",35,89853852,"Other",0.167,2681977,1718442382.106,32395
"-Aurora-","283.05m","CaveManDave",82,283053030,"Other",0.516,2698569,1716325591.7635,32395
"-Aurora-","473.28m","Xand3r187",84,473280907,"Other",0.424,2716931,1718442382.106,32395
"-Aurora-","3.56m","BordeauxBrawn",73,3561183,"Other",0.299,2726304,1717664789.64243,32395
"-Aurora-","207.69m","RickAstley",15,207694622,"Other",0.441,2734414,1717319204.46127,32395
"-Aurora-","670.44m","Notes89",85,670439584,"Other",0.216,2734952,1717751225.31149,32395
"-Aurora-","13.38m","Willow87",56,13383832,"Other",0.317,2744593,1718528780.64238,32395
"-Aurora-","46.91m","FROCKER",72,46913886,"Other",1.314,2744801,1716412000.37359,32395
"-Aurora-","35.79m","Killer-B",60,35791762,"Other",0.721,2758694,1717449225.68708,32395
"-Aurora-","2.02m","Azzamartin2",53,2018184,"Other",0.096,2762968,1716325591.7635,32395
"-Aurora-","1.3m","potatohotpaints",47,1304426,"Other",0.423,2767220,1717751225.31149,32395
"-Aurora-","39.56m","Argent0622",69,39558150,"Other",0.569,2780689,1718442382.106,32395
"-Aurora-","1.97m","Bubba79",55,1967748,"Other",0.147,2804823,1716541677.85069,32395
"-Aurora-","33.13m","Nasaari",57,33134049,"Other",0.552,2818797,1718442382.106,32395
"-Aurora-","17.69m","Tyrok",65,17693268,"Other",0.828,2822684,1716757600.69671,32395
"-Aurora-","32.56m","phil4me",54,32564168,"Other",0.302,2834803,1716325591.7635,32395
"-Aurora-","172.19m","Seguwuk",50,172191974,"Other",3.483,2835629,1718442382.106,32395
"-Aurora-","78.37m","Towels",60,78371510,"Other",1.319,2853963,1716325591.7635,32395
"-Aurora-","6.81m","KgChallo",15,6811275,"Other",0.191,2858230,1718442382.106,32395
"-Aurora-","23.25m","JayJayGoth007",60,23254480,"Other",4.398,2859995,1718442382.106,32395
"-Aurora-","4.99m","Count_de_Money",53,4985673,"Other",0.794,2912513,1717362412.99191,32395
"-Aurora-","888.22k","Nohs",41,888216,"Other",0.24,2928731,1717837588.82962,32395
"-Aurora-","567.03k","Arruaceiro62902",40,567029,"Other",0.543,2935204,1718442382.106,32395
"-Aurora-","769.93k","Jaguda1",41,769931,"Other",0.732,2952815,1716412000.37359,32395
"-Aurora-","148.69m","xcare",40,148694396,"Other",1.394,2959294,1716757600.69671,32395
"-Aurora-","989.17k","PengoWengo",40,989173,"Other",0.115,2962208,1716887209.42222,32395
"-Aurora-","911.92k","BelleD",48,911919,"Other",0.419,2970056,1717275987.51412,32395
"-Aurora-","7.25m","Fashtas",55,7253306,"Other",1.326,2973986,1718442382.106,32395
"-Aurora-","1.01m","Junheta",44,1005912,"Other",0.165,2987593,1717621592.49914,32395
"-Aurora-","270.13k","Arkv3",23,270131,"Other",0.497,3013854,1717275987.51412,32395
"-Aurora-","256.71k","ZypherMeow",37,256710,"Other",0.547,3044565,1718615186.31814,32395
"-Aurora-","1.56m","ChadRampant",48,1558448,"Other",0.704,3045035,1717751225.31149,32395
"-Aurora-","615.23k","Jamster125",45,615229,"Other",0.405,3046573,1718442382.106,32395
"-Aurora-","218.91k","Kritzar",36,218908,"Other",0.385,3047326,1718442382.106,32395
"-Aurora-","5.32m","nuxx",54,5318022,"Other",4.423,3054747,1716844006.31174,32395
"-Aurora-","432.46k","Kayin_Skalarie",35,432455,"Other",1.075,3072192,1717189663.69098,32395
"-Aurora-","156.84k","itsmeyou",45,156844,"Other",0.383,3084632,1716714382.81286,32395
"-Aurora-","474.02k","Bossman38",27,474021,"Other",5.701,3171155,1717449225.68708,32395
"-Aurora-","48.68k","Gremlin_01",20,48677,"Other",0.503,3223468,1716325591.7635,32395
"-Aurora-","53.28k","WinchesterGal",23,53285,"Other",2.902,3223472,1718442382.106,32395
"-Aurora-","22.8k","Osyris-Mckinney",24,22800,"Other",1.389,3232246,1716541677.85069,32395
"-Aurora-","41.34k","Paddy1518",23,41340,"Other",1.564,3241036,1718442382.106,32395
"-Aurora-","24.82k","BebopKID",22,24815,"Other",3.023,3260573,1718442382.106,32395
"-Aurora-","64.65m","Stratovar",36,64646233,"Other",0.422,2164556,1718874388.64975,32395
"-Aurora-","545.96m","noroq",84,545955601,"Other",0.565,2644921,1718874388.64975,32395
"-Aurora-","62.2m","LoveBender",76,62197814,"Other",1.618,2774628,1718874388.64975,32395
"-StONeD rAiDeRs-","2.24b","MoHaG",86,2242666206,"Other",0.252,105819,1718442382.106,37131
"-StONeD rAiDeRs-","495.7m","rory123",66,495704919,"Other",0.204,525412,1718442382.106,37131
"-StONeD rAiDeRs-","1.26b","blade12264",60,1256443841,"Other",0.27,563775,1718442382.106,37131
"-StONeD rAiDeRs-","122.27m","cheesie01",30,122268520,"Other",0.319,576696,1717621592.49914,37131
"-StONeD rAiDeRs-","247.32m","Montezuma",64,247315325,"Other",0.128,638752,1717319204.46127,37131
"-StONeD rAiDeRs-","766.93m","Xanider",72,766934809,"Other",0.4,774526,1717103221.09932,37131
"-StONeD rAiDeRs-","1b","WePickLocks",80,1000604301,"Other",1.024,789306,1718442382.106,37131
"-StONeD rAiDeRs-","847.45m","monkeymick",88,847451295,"Other",0.068,804910,1717664789.64243,37131
"-StONeD rAiDeRs-","384.36m","Jack_of_Blades",49,384364145,"Other",0.022,863707,1718528780.64238,37131
"-StONeD rAiDeRs-","2.75b","dom_sports",89,2746378469,"Other",0.369,1608190,1717664789.64243,37131
"-StONeD rAiDeRs-","574.79m","DaRcK",30,574788480,"Other",0.103,1726642,1718442382.106,37131
"-StONeD rAiDeRs-","868.89m","Mordak",77,868893213,"Other",0.218,1768024,1716930438.83649,37131
"-StONeD rAiDeRs-","150.51m","Capreto",58,150509082,"Other",0.206,1805715,1718528780.64238,37131
"-StONeD rAiDeRs-","1.82m","IOD9797",15,1820543,"Other",0.113,1880600,1718615186.31814,37131
"-StONeD rAiDeRs-","989.63m","Nugg",33,989631488,"Other",0.245,1897371,1718442382.106,37131
"-StONeD rAiDeRs-","550.67m","DeathCrawler",40,550667372,"Other",3.575,1937110,1717449225.68708,37131
"-StONeD rAiDeRs-","18.3m","Lide",54,18296799,"Other",0.347,1961582,1717103221.09932,37131
"-StONeD rAiDeRs-","128.16m","Savage_Wolf",69,128162571,"Other",0.032,2026279,1717319204.46127,37131
"-StONeD rAiDeRs-","1.97b","SrAiDeR",80,1971634113,"Other",0.12,2041627,1717319204.46127,37131
"-StONeD rAiDeRs-","1.39b","Ashleypj",70,1393942290,"Other",0.081,2043286,1717103221.09932,37131
"-StONeD rAiDeRs-","674.57m","Wildpyro08",50,674565955,"Other",0.12,2050067,1716757600.69671,37131
"-StONeD rAiDeRs-","458.67m","musicmaestro360",91,458672517,"Other",2.236,2070052,1716757600.69671,37131
"-StONeD rAiDeRs-","1.12m","tcpdump",41,1117856,"Other",0.109,2116330,1718744807.10811,37131
"-StONeD rAiDeRs-","15.36m","Psilocke",27,15361364,"Other",0.859,2116451,1718744807.10811,37131
"-StONeD rAiDeRs-","14.92m","DillonCrosby",62,14924169,"Other",0.033,2122275,1718528780.64238,37131
"-StONeD rAiDeRs-","232.37m","Battray",47,232370090,"Other",0.013,2129908,1717016825.66421,37131
"-StONeD rAiDeRs-","1.08m","Briixo25",40,1082233,"Other",0.031,2132952,1716714382.81286,37131
"-StONeD rAiDeRs-","254.46m","USAHighLife",73,254457904,"Other",0.062,2137747,1717319204.46127,37131
"-StONeD rAiDeRs-","85.46m","Psycho109",56,85463317,"Other",0.013,2183841,1718140032.05234,37131
"-StONeD rAiDeRs-","651.96m","davilknight",50,651959767,"Other",0.327,2184711,1717837588.82962,37131
"-StONeD rAiDeRs-","208.37m","specterwires",15,208370775,"Other",0.328,2192452,1717837588.82962,37131
"-StONeD rAiDeRs-","924.04m","Zeryomi",32,924035696,"Other",0.106,2195809,1718442382.106,37131
"-StONeD rAiDeRs-","376.99m","420Maui",71,376988122,"Other",0.086,2207589,1716714382.81286,37131
"-StONeD rAiDeRs-","1.45b","iRepVD",80,1447276714,"Other",0.367,2215778,1718442382.106,37131
"-StONeD rAiDeRs-","1.9b","Daewoo77",19,1895269420,"Other",0.122,2287952,1716757600.69671,37131
"-StONeD rAiDeRs-","150.42m","ibanartist",50,150418149,"Other",0.209,2288617,1717103221.09932,37131
"-StONeD rAiDeRs-","1.48m","RatTaco",42,1480196,"Other",0.617,2369960,1718442382.106,37131
"-StONeD rAiDeRs-","225.56m","Drakezz",66,225556079,"Other",0.088,2421447,1718356023.62102,37131
"-StONeD rAiDeRs-","11.55m","Itchyballs93",25,11547750,"Other",0.178,2491937,1717967205.0065,37131
"-StONeD rAiDeRs-","590.24k","THE-GOD-IMPALER",40,590239,"Other",0.46,2501948,1716541677.85069,37131
"-StONeD rAiDeRs-","86.88k","qzu",23,86884,"Other",0.05,2507648,1718442382.106,37131
"-StONeD rAiDeRs-","13.55m","extremebeans",50,13549272,"Other",0.735,2517861,1717362412.99191,37131
"-StONeD rAiDeRs-","901.22k","Dip14",43,901224,"Other",0.137,2548719,1718442382.106,37131
"-StONeD rAiDeRs-","16.74m","ChocHips-Chimps",60,16744051,"Other",0.309,2697059,1716930438.83649,37131
"-StONeD rAiDeRs-","151.41k","fantazio77",34,151409,"Other",0.193,2720504,1718226386.9684,37131
"-StONeD rAiDeRs-","476.67k","elisavm90",35,476674,"Other",0.034,2732406,1718442382.106,37131
"-StONeD rAiDeRs-","141.1k","kensa",18,141097,"Other",0.263,2775829,1717275987.51412,37131
"-StONeD rAiDeRs-","310.53k","MayonnaiseBro",31,310527,"Other",0.894,2818828,1716973652.66914,37131
"-StONeD rAiDeRs-","19.4k","LadySpecter7489",15,19398,"Other",0.024,2859332,1717449225.68708,37131
"-StONeD rAiDeRs-","84.44k","missblackacai",40,84444,"Other",0.359,2943557,1716714382.81286,37131
"-StONeD rAiDeRs-","705.14k","LeFinke",40,705136,"Other",0.965,2983288,1717751225.31149,37131
"-StONeD rAiDeRs-","480.84k","Shaurmiath",37,480844,"Other",0.237,2986552,1717362412.99191,37131
"-StONeD rAiDeRs-","41.83k","Yarobi",24,41827,"Other",0.045,2987874,1716627989.10529,37131
"-StONeD rAiDeRs-","350.24k","Caliga",32,350242,"Other",0.242,2987875,1717275987.51412,37131
"-StONeD rAiDeRs-","419.44k","Lmc",34,419445,"Other",0.151,2990580,1717103221.09932,37131
"-StONeD rAiDeRs-","213.86k","koldes",35,213860,"Other",0.696,2991728,1717449225.68708,37131
"-StONeD rAiDeRs-","493.29k","Aus505",31,493290,"Other",1.082,2996261,1717664789.64243,37131
"-StONeD rAiDeRs-","89.58k","Decules",25,89576,"Other",3.067,3227739,1718442382.106,37131
"-StONeD rAiDeRs-","68.27k","SumDumPunk",25,68267,"Other",2.475,3232494,1717491990.29533,37131
"-StONeD rAiDeRs-","372","Frostborne",3,372,"Other",0.024,3302810,1716412000.37359,37131
"-StONeD rAiDeRs-","26","Brentai",4,26,"Other",0.062,3309589,1718442382.106,37131
"-StONeD rAiDeRs-","117","Bill_Freeman",5,117,"Other",0.076,3312165,1717491990.29533,37131
"-StONeD rAiDeRs-","117","Dirtball840",4,117,"Other",0.075,3312473,1717449225.68708,37131
"-StONeD rAiDeRs-","2.66b","Baam",60,2664588576,"Other",0.103,1974254,1718874388.64975,37131
"-StONeD rAiDeRs-","6.58m","Woundedonioin",28,6580364,"Other",0.039,2140067,1718874388.64975,37131
"-StONeD rAiDeRs-","247.94m","YouKidsRAnnoyin",60,247944095,"Other",0.154,2167074,1718874388.64975,37131
"-StONeD rAiDeRs-","148.85m","Charliebear",80,148852098,"Other",0.058,2174590,1718874388.64975,37131
"-StONeD rAiDeRs-","45.68m","Pootertime",45,45682372,"Other",0.275,2582791,1718874388.64975,37131
"-UGK-","3.04b","Darth-Pator",76,3043862378,"Other",0.242,150147,1716930438.83649,11356
"-UGK-","10.62b","420drug_addict",100,10616581816,"Other",0.184,272845,1718442382.106,11356
"-UGK-","282.5m","moagstar",50,282503172,"Other",0.048,315666,1718442382.106,11356
"-UGK-","4.93b","GPPYOOO",93,4931397722,"Other",0.419,578767,1716757600.69671,11356
"-UGK-","371.29m","Marusse",40,371290818,"Other",0.024,604133,1716757600.69671,11356
"-UGK-","6.8b","JARANI",91,6796096376,"Other",0.23,677066,1718442382.106,11356
"-UGK-","1b","Zeldon",71,1002111626,"Other",0.044,764032,1718442382.106,11356
"-UGK-","3.01b","trayhouva",58,3012268540,"Other",0.119,847087,1717319204.46127,11356
"-UGK-","4.11b","ShapeZ",80,4114029802,"Other",0.037,858756,1717621592.49914,11356
"-UGK-","208.71m","She_Dealer",57,208711661,"Other",0.011,978704,1718744807.10811,11356
"-UGK-","644.64m","edawesome",71,644635904,"Other",0.038,986250,1718528780.64238,11356
"-UGK-","1.01b","dudejc",69,1008142945,"Other",0.191,986292,1718442382.106,11356
"-UGK-","180.27m","jumpman1232",51,180266300,"Other",0.06,1308620,1716541677.85069,11356
"-UGK-","416.94m","RenegadeActiv8",65,416937517,"Other",0.471,1360802,1717103221.09932,11356
"-UGK-","475.55m","Mr_Capitalist",57,475553016,"Other",0.109,1422486,1718744807.10811,11356
"-UGK-","993.91k","Empire_Of_SHAN",30,993914,"Other",0.052,1440316,1717751225.31149,11356
"-UGK-","54.57m","Patsy",44,54571210,"Other",0.028,1448232,1717664789.64243,11356
"-UGK-","689.01m","SoulDoctor",50,689006769,"Other",0.04,1498643,1718615186.31814,11356
"-UGK-","848.14m","Lord_Vetinari",80,848139083,"Other",0.579,1570779,1716541677.85069,11356
"-UGK-","2.95b","Video",84,2949301319,"Other",0.495,1719150,1717103221.09932,11356
"-UGK-","694.4m","HUNCHYTHEGROUCH",68,694399107,"Other",0.322,1742480,1716412000.37359,11356
"-UGK-","23.8m","dean_demo",39,23795237,"Other",0.031,1745061,1717967205.0065,11356
"-UGK-","2.18b","Chordagoth129",78,2179890030,"Other",0.053,1825420,1717837588.82962,11356
"-UGK-","1.38b","Titanium",25,1375861974,"Other",0.054,1880065,1716930438.83649,11356
"-UGK-","955.06m","XDeltaA77",69,955056550,"Other",0.551,1892226,1717751225.31149,11356
"-UGK-","2.18b","women_respecter",85,2180987972,"Other",0.011,1981040,1717449225.68708,11356
"-UGK-","82.07m","Ryohazuki",60,82068503,"Other",0.092,2015933,1717319204.46127,11356
"-UGK-","967.05m","amplitud3",25,967050032,"Other",0.062,2035495,1717449225.68708,11356
"-UGK-","2.19b","Fury_Whip",69,2193382799,"Other",0.305,2045155,1718744807.10811,11356
"-UGK-","1.1m","BlaQAssasin",32,1096600,"Other",0.021,2062909,1718658387.53749,11356
"-UGK-","948.86m","Jculver",74,948864651,"Other",0.033,2066455,1716541677.85069,11356
"-UGK-","7.77m","firisad",30,7766498,"Other",0.03,2130449,1716627989.10529,11356
"-UGK-","70m","EternalSoulFire",66,70003479,"Other",0.089,2209327,1716541677.85069,11356
"-UGK-","463.28m","Chops_AU",81,463277489,"Other",0.304,2289569,1718442382.106,11356
"-UGK-","10.7m","Freddyvr7",63,10696898,"Other",0.094,2460686,1718442382.106,11356
"-UGK-","107.77m","BexyBee",47,107771610,"Other",0.19,2477220,1716757600.69671,11356
"-UGK-","20.7m","whoosaah",50,20702645,"Other",0.218,2517929,1717275987.51412,11356
"-UGK-","76.41m","hvvno",52,76412105,"Other",0.156,2536657,1718442382.106,11356
"-UGK-","1.76b","EoghanCallow3",53,1759612196,"Other",0.058,2586268,1717275987.51412,11356
"-UGK-","10.48m","Tokuchi",56,10479393,"Other",0.341,2664658,1717837588.82962,11356
"-UGK-","6.21m","NanaP",40,6207848,"Other",0.065,2698043,1717621592.49914,11356
"-UGK-","400.4k","baby_helen",42,400401,"Other",0.168,2709237,1717103221.09932,11356
"-UGK-","80.38m","higher",42,80381979,"Other",0.635,2750616,1718442382.106,11356
"-UGK-","19.29m","Hoii_Yeah",45,19285082,"Other",0.216,2765606,1716757600.69671,11356
"-UGK-","1.18m","dialchemist",36,1182352,"Other",0.004,2796747,1718744807.10811,11356
"-UGK-","772.27k","S3xyShad0w",22,772271,"Other",0.486,2830730,1716627989.10529,11356
"-UGK-","132.67m","The_Darkness",50,132672251,"Other",0.387,1010701,1718874388.64975,11356
"-UGK-","2.21b","UGK_REMIX",91,2206787915,"Other",1.091,1313426,1718874388.64975,11356
"160th SOAR Night Stalkers","993.72m","Invocation",74,993717483,"Other",0.179,16935,1718442382.106,14432
"160th SOAR Night Stalkers","4.12b","-Glitch-",93,4115138012,"Other",1.115,78061,1716325591.7635,14432
"160th SOAR Night Stalkers","1.32b","Hydralisk",71,1316872849,"Other",0.172,980768,1717362412.99191,14432
"160th SOAR Night Stalkers","197.31m","CookieKiller",81,197307702,"Other",0.228,1043882,1718442382.106,14432
"160th SOAR Night Stalkers","1.56b","Callaghan",78,1558945260,"Other",1.618,1316121,1717319204.46127,14432
"160th SOAR Night Stalkers","3.55b","Crash_Nova",92,3545616138,"Other",0.411,1322101,1716412000.37359,14432
"160th SOAR Night Stalkers","1.43b","WhY_So_N0OB",83,1428813702,"Other",0.039,1612446,1717751225.31149,14432
"160th SOAR Night Stalkers","2.33b","Shinigami",79,2325610492,"Other",0.154,1721490,1717362412.99191,14432
"160th SOAR Night Stalkers","825.28m","TheUnavoidable",60,825281083,"Other",0.115,1742744,1716541677.85069,14432
"160th SOAR Night Stalkers","37.17m","Wedbetter",34,37172789,"Other",1.278,1746138,1718442382.106,14432
"160th SOAR Night Stalkers","2.11b","Liamj",28,2111662251,"Other",0.818,1780224,1717664789.64243,14432
"160th SOAR Night Stalkers","35.13m","ShisoN",42,35130088,"Other",1.328,2010726,1718442382.106,14432
"160th SOAR Night Stalkers","7.52b","nihilisticcat",100,7517121721,"Other",1.396,2112766,1718744807.10811,14432
"160th SOAR Night Stalkers","459.33m","NineAngryNuns",73,459326338,"Other",0.371,2124788,1716973652.66914,14432
"160th SOAR Night Stalkers","1.22b","GSgt_LJ_Gibbs",97,1223543752,"Other",1.25,2144996,1717103221.09932,14432
"160th SOAR Night Stalkers","4.01b","DiamondPro",100,4012646624,"Other",1.357,2161442,1718442382.106,14432
"160th SOAR Night Stalkers","27.81m","Xandora",24,27813498,"Other",0.265,2198440,1717837588.82962,14432
"160th SOAR Night Stalkers","199.51m","Shoshana",81,199508281,"Other",1.271,2202288,1717664789.64243,14432
"160th SOAR Night Stalkers","1.75b","Zaltais",99,1746759639,"Other",2.334,2236890,1717794442.90018,14432
"160th SOAR Night Stalkers","28.5m","Skitecs",47,28496339,"Other",0.175,2240644,1717103221.09932,14432
"160th SOAR Night Stalkers","257.52m","Ogiarn",30,257518917,"Other",0.189,2245717,1717103221.09932,14432
"160th SOAR Night Stalkers","726.8k","YoloKai",42,726796,"Other",0.238,2246709,1716973652.66914,14432
"160th SOAR Night Stalkers","94.87k","urfavoriteuncle",26,94870,"Other",0.21,2254537,1716973652.66914,14432
"160th SOAR Night Stalkers","131.86m","Afanen",50,131864931,"Other",0.471,2261496,1718442382.106,14432
"160th SOAR Night Stalkers","135.28m","sealpy",59,135279421,"Other",0.167,2263525,1718615186.31814,14432
"160th SOAR Night Stalkers","23.49m","Bogdan6222",48,23492482,"Other",0.268,2314426,1718528780.64238,14432
"160th SOAR Night Stalkers","933.13m","Sharrakar",50,933132463,"Other",0.183,2334035,1718442382.106,14432
"160th SOAR Night Stalkers","32.04m","Jojolaboo",43,32043267,"Other",0.393,2373992,1717103221.09932,14432
"160th SOAR Night Stalkers","6.9m","Packmankilla",63,6898146,"Other",0.544,2401738,1718744807.10811,14432
"160th SOAR Night Stalkers","24.48m","Zeffyr_",40,24475247,"Other",0.663,2437930,1717837588.82962,14432
"160th SOAR Night Stalkers","3.27b","mmhMinto",40,3273397763,"Other",5.338,2483085,1716757600.69671,14432
"160th SOAR Night Stalkers","1.14b","MunkyBone",22,1136316557,"Other",3.667,2493877,1718053675.45723,14432
"160th SOAR Night Stalkers","356.6m","Raz139",50,356601424,"Other",0.703,2505868,1716714382.81286,14432
"160th SOAR Night Stalkers","5.59m","Vinyl_Scratch",53,5594445,"Other",0.465,2506899,1717362412.99191,14432
"160th SOAR Night Stalkers","216.75m","Synkotic",50,216752543,"Other",0.567,2535362,1717751225.31149,14432
"160th SOAR Night Stalkers","1.35m","Spadoo",40,1351993,"Other",0.067,2549302,1718528780.64238,14432
"160th SOAR Night Stalkers","1.44m","Reyven",57,1436538,"Other",0.294,2559621,1717319204.46127,14432
"160th SOAR Night Stalkers","228.23m","Fultonator",55,228225002,"Other",0.83,2559926,1718442382.106,14432
"160th SOAR Night Stalkers","228.39m","Ashdkx",20,228389935,"Other",0.466,2637084,1717664789.64243,14432
"160th SOAR Night Stalkers","495.49k","TheSilentJuan",31,495490,"Other",0.467,2647346,1718442382.106,14432
"160th SOAR Night Stalkers","846.46m","Soulblacker",83,846463154,"Other",1.491,2649361,1718744807.10811,14432
"160th SOAR Night Stalkers","174.34k","Zwamloos",22,174343,"Other",0.186,2656429,1717362412.99191,14432
"160th SOAR Night Stalkers","66.5m","Suiveris",65,66495844,"Other",0.934,2663485,1717103221.09932,14432
"160th SOAR Night Stalkers","1.67m","OsoroshiAkuma",46,1672482,"Other",0.556,2701391,1716757600.69671,14432
"160th SOAR Night Stalkers","426.77k","StormFather",34,426770,"Other",0.131,2755802,1716757600.69671,14432
"160th SOAR Night Stalkers","1.89m","Refurblack",20,1891729,"Other",0.286,2832170,1716627989.10529,14432
"160th SOAR Night Stalkers","163.1k","N4CHT",25,163103,"Other",0.35,2873852,1716714382.81286,14432
"160th SOAR Night Stalkers","698.16k","AdrianXYJ",31,698163,"Other",1.641,2937728,1718744807.10811,14432
"160th SOAR Night Stalkers","2.68m","Whiteundies",33,2682135,"Other",0.371,2951847,1717449225.68708,14432
"160th SOAR Night Stalkers","309.15k","HappyStuffing",33,309153,"Other",0.407,3004103,1716757600.69671,14432
"160th SOAR Night Stalkers","232.69k","ScottyBoy95",34,232686,"Other",0.6,3007001,1717664789.64243,14432
"160th SOAR Night Stalkers","217.81k","Brahmin",30,217807,"Other",0.253,3057372,1718442382.106,14432
"160th SOAR Night Stalkers","365.89k","Stonesilent",25,365889,"Other",0.173,3134793,1718615186.31814,14432
"160th SOAR Night Stalkers","417.03k","dalebrennen",25,417026,"Other",0.275,3197599,1717751225.31149,14432
"160th SOAR Night Stalkers","10.3b","OldMighty",100,10298463478,"Other",1.887,470614,1718874388.64975,14432
"160th SOAR Night Stalkers","825.49m","Funbot",91,825488454,"Other",0.645,2530521,1718874388.64975,14432
"39th Street Chillers","10.54b","Horica",93,10536325598,"CRyPTo",0.095,69307,1718442382.106,22680
"39th Street Chillers","9.11b","Dijalekt",100,9108448229,"CRyPTo",0.071,175335,1718442382.106,22680
"39th Street Chillers","2.5b","Uncle_Fester",100,2504566485,"CRyPTo",1.097,224542,1716757600.69671,22680
"39th Street Chillers","1.12b","Ystivan",63,1121795390,"CRyPTo",0.064,268776,1716930438.83649,22680
"39th Street Chillers","1.88b","USB-C",89,1884158594,"CRyPTo",0.019,295005,1718226386.9684,22680
